UCSC_ID	RPM
uc009ffc.2	42.4
uc012dny.1	1.0
uc008ptk.1	4.8
uc007pwj.1	13.6
uc007bvp.1	947.4
uc008cfi.2	32.5
uc007kwl.1	8.6
uc007vfn.1	6.1
uc009usl.1	185.7
uc009efz.1	15.9
uc007jhm.1	1.4
uc009bja.1	1.6
uc008cfg.1	42.6
uc009cin.2	8.7
uc009dsm.2	139.4
uc008key.1	10.5
uc033iwc.1	74.5
uc008ubs.1	57.1
uc008uzd.1	66.0
uc008dzo.2	72.1
uc009djc.1	4204.0
uc007rjr.1	3.9
uc009ijj.2	12.4
uc007rxb.1	8.7
uc009aez.1	15.2
uc007vax.2	19.6
uc007leu.2	3381.7
uc007yde.1	61.8
uc007hjt.2	7.2
uc007jxo.1	2.0
uc007iyw.2	40.2
uc008emr.1	3.7
uc009qwl.1	22.8
uc007oft.1	183.6
uc008cfp.1	16.2
uc007mow.1	10.3
uc007lyt.2	1.8
uc008gyz.1	37.5
uc009nko.1	3.5
uc009gns.1	29.2
uc007cny.2	213.4
uc007nvk.2	12.0
uc008qxu.1	1.6
uc009ucg.1	7.1
uc009bez.3	15.7
uc008sca.3	1.9
uc007thh.2	100.7
uc009pxw.1	57.2
uc008mjs.1	36.3
uc009cxv.1	4.9
uc008egu.1	28.0
uc009mbm.1	33.4
uc007kmj.1	23.2
uc008xmh.1	31.9
uc008hgg.2	39.9
uc008xdo.1	88.1
uc008eki.2	59.2
uc007iik.1	17.3
uc007eyv.2	20.6
uc007qnd.1	39.0
uc008qwg.2	22.9
uc009lnz.1	71.6
uc009rvn.2	42.5
uc008ggw.1	23.3
uc007dwu.1	42.9
uc008pnx.1	2.8
uc009fmy.2	217.6
uc007ror.2	29.7
uc007cru.1	121.8
uc007zej.1	80.3
uc008ewv.2	18.5
uc009iif.1	5.7
uc007pcp.1	2.2
uc009qah.3	87.8
uc007fhi.1	0.6
uc007qyw.1	91.4
uc009gjk.1	59.0
uc007ktd.1	6.5
uc012fxo.1	40.8
uc007htz.2	9.9
uc008off.1	740.5
uc009jgj.1	3.5
uc008zhu.1	30.3
uc009ayk.2	23.2
uc008emc.2	18.7
uc012gyf.1	1.0
uc007gfm.1	6.6
uc009krq.1	32.8
uc011xyi.1	10.8
uc009mue.1	6.0
uc007ujs.2	18.6
uc012dqg.1	2.6
uc007mfm.1	16.2
uc008plk.1	5.8
uc008gow.1	4.0
uc007krg.2	26.7
