UCSC_ID	RPM
uc009ffc.2	222.5
uc012dny.1	1.2
uc008ptk.1	16.7
uc007pwj.1	43.0
uc007bvp.1	4283.5
uc008cfi.2	102.5
uc007kwl.1	19.1
uc007vfn.1	11.3
uc009usl.1	639.6
uc009efz.1	41.9
uc007jhm.1	1.9
uc009bja.1	2.3
uc008cfg.1	95.2
uc009cin.2	8.7
uc009dsm.2	428.7
uc008key.1	18.8
uc033iwc.1	34.3
uc008ubs.1	77.7
uc008uzd.1	176.8
uc008dzo.2	181.4
uc009djc.1	4046.1
uc007rjr.1	6.4
uc009ijj.2	10.3
uc007rxb.1	6.6
uc009aez.1	17.3
uc007vax.2	35.2
uc007leu.2	3269.4
uc007yde.1	90.6
uc007hjt.2	4.5
uc007jxo.1	3.2
uc007iyw.2	36.0
uc008emr.1	3.6
uc009qwl.1	44.3
uc007oft.1	167.4
uc008cfp.1	11.3
uc007mow.1	11.2
uc007lyt.2	3.4
uc008gyz.1	55.4
uc009nko.1	11.7
uc009gns.1	22.2
uc007cny.2	497.1
uc007nvk.2	16.3
uc008qxu.1	2.0
uc009ucg.1	8.3
uc009bez.3	29.4
uc008sca.3	4.1
uc007thh.2	134.7
uc009pxw.1	38.4
uc008mjs.1	38.0
uc009cxv.1	6.0
uc008egu.1	45.8
uc009mbm.1	36.4
uc007kmj.1	17.0
uc008xmh.1	35.2
uc008hgg.2	32.9
uc008xdo.1	84.4
uc008eki.2	50.1
uc007iik.1	13.2
uc007eyv.2	18.3
uc007qnd.1	35.6
uc008qwg.2	15.3
uc009lnz.1	83.4
uc009rvn.2	62.7
uc008ggw.1	15.1
uc007dwu.1	41.6
uc008pnx.1	1.6
uc009fmy.2	276.7
uc007ror.2	32.8
uc007cru.1	86.5
uc007zej.1	62.9
uc008ewv.2	20.3
uc009iif.1	5.9
uc007pcp.1	2.4
uc009qah.3	221.6
uc007fhi.1	0.8
uc007qyw.1	75.5
uc009gjk.1	61.2
uc007ktd.1	7.2
uc012fxo.1	8.9
uc007htz.2	6.9
uc008off.1	188.8
uc009jgj.1	2.0
uc008zhu.1	31.1
uc009ayk.2	18.1
uc008emc.2	14.1
uc012gyf.1	0.4
uc007gfm.1	3.6
uc009krq.1	24.3
uc011xyi.1	13.1
uc009mue.1	4.6
uc007ujs.2	13.6
uc012dqg.1	2.0
uc007mfm.1	15.1
uc008plk.1	6.8
uc008gow.1	8.5
uc007krg.2	13.8
uc009ifu.2	3.0
uc008qlo.2	5.6
uc009bdh.2	91.3
uc009les.1	116.2
uc008rfz.1	4.1
uc009oej.1	27.2
uc009ser.2	2.8
uc007nhy.1	11.7
uc007lfc.2	4.3
uc008ton.2	49.0
uc009cex.2	9.5
uc007hcx.2	151.9
uc008yki.2	70.8
uc007nyz.2	26.6
uc007irl.1	32.6
uc009bgh.2	8.4
uc009rxm.3	56.7
uc008svg.2	112.3
uc007uvh.2	9.5
uc008lts.3	16.2
uc008rwe.2	4.4
uc009ilj.2	32.0
uc008rwm.2	5.4
uc012gcr.1	58.4
uc007ayp.1	22.6
uc008bqp.2	1770.1
uc007fdo.2	17.5
uc009jsd.1	50.1
uc007rtj.1	31.0
uc009mka.2	5.9
uc009kau.2	8.4
uc009bjp.2	1.4
uc007agb.1	26.9
uc008ree.2	8.8
uc008qcu.2	4.5
uc007lie.1	5.1
uc007obp.1	265.7
uc008xfb.2	4.3
uc007zad.1	3.6
uc007nky.2	176.6
uc007fdf.2	12.5
uc009gdn.1	45.0
uc008irr.1	20.1
uc033hrk.1	35.2
uc008llr.1	50.2
uc008npr.1	3.9
uc008arp.2	11.2
uc009ikd.1	13.3
uc007xqi.2	27.9
uc007kix.1	9.6
uc008bub.1	19.3
uc008ijz.1	0.4
uc007hsu.2	52.5
uc007yge.2	11.1
uc007dww.1	55.4
uc008bel.2	7.6
uc007igf.2	8.2
uc009kvb.2	3.6
uc007vjf.2	7.1
uc007nfn.2	13.2
uc009tnu.2	16.2
uc009hcn.2	8.8
uc009kvc.2	2.9
uc008jbb.1	4.7
uc007bzs.2	12.9
uc007ouf.1	14.5
uc007vad.1	5.9
uc007zgo.2	7.9
uc008wie.1	47.3
uc007hnk.2	788.8
uc009qvg.2	3.8
uc007ixk.2	3.8
uc008qgt.1	3.4
uc011zae.1	5.4
uc009gmf.2	7.0
uc008dph.2	14.4
uc007rva.2	3.6
uc008jms.2	11.0
uc009ezj.1	1.5
uc012gxt.1	17.8
uc007brq.3	8.1
uc029swd.1	3.2
uc008fns.1	14.9
uc008tva.2	16.5
uc008rtw.1	3.0
uc008jkg.2	2.7
uc008ove.1	2.6
uc007uhn.1	0.9
uc007uko.1	7.0
uc007vde.1	1.7
uc009qsi.1	27.9
uc008dkh.1	23.1
uc007umo.2	1.5
uc007ujw.2	19.5
uc012cfb.1	2.4
uc008dzc.1	31.0
uc009kem.2	45.0
uc008elt.1	57.8
uc009psz.2	11.8
uc009ucs.1	3.3
uc009una.1	0.8
uc008iig.2	7.7
uc008xue.1	0.1
uc008gnh.1	161.3
uc008hnh.1	263.1
uc012eod.1	134.1
uc033iet.1	10.2
uc009rva.1	7.0
uc012eeq.1	788.5
uc009ntf.1	593.9
uc007jqc.2	52.7
uc009szl.1	1.6
uc008hnl.2	5.5
uc029spb.1	66.3
uc009mpd.1	48.3
uc008gfd.2	301.3
uc009fpu.2	295.7
uc012fgp.1	14.9
uc007nod.1	53.9
uc007jfv.2	70.5
uc007ykc.2	83.4
uc007ykj.2	53.4
uc007fwr.2	53.8
uc008sjh.2	77.1
uc012eiw.1	17.1
uc008gak.1	52.9
uc008cls.1	13.9
uc009mwv.1	10.9
uc009tsw.1	99.0
uc009gqf.1	13.2
uc008wcs.1	29.6
uc007pbi.1	10.4
uc009fnf.1	164.3
uc011wmz.1	224.2
uc029wnj.1	88.4
uc008zzl.1	13.1
uc008bbl.1	30.6
uc009rkb.1	290.9
uc008ysz.2	34.9
uc012fkm.1	394.0
uc009kow.1	43.9
uc009jup.1	254.1
uc009awf.1	10.9
uc007gdt.1	123.5
uc009rqt.1	99.7
uc008hni.2	26.0
uc008hio.1	12.5
uc008cab.2	128.8
uc008sih.1	11.5
uc007wyn.1	158.1
uc007jfi.1	6.7
uc009ezp.2	23.9
uc008asi.1	26.2
uc008sje.2	28.2
uc007tmf.1	1.4
uc009nsw.1	19.2
uc008gjn.2	23.6
uc007jhq.1	39.2
uc007cnv.3	12.5
uc009soj.2	47.2
uc008hgw.3	24.2
uc009fnk.2	136.9
uc008clt.1	79.7
uc029uzh.1	50.9
uc007ypu.2	213.1
uc007wmc.1	10.5
uc007cji.1	26.6
uc007gus.1	3.4
uc012flg.2	12.1
uc009mxh.2	11.7
uc009dvr.1	39.3
uc007rwz.1	12.6
uc012bgx.2	37.2
uc008wfq.1	15.8
uc009rog.1	18.9
uc007bpt.2	16.1
uc008omw.2	9.1
uc009nre.1	2.8
uc007whi.1	25.8
uc011zln.1	43.5
uc009fez.1	39.5
uc007wjz.2	22.1
uc007hwm.2	138.5
uc009ous.1	2.2
uc007cee.1	28.5
uc009agi.1	98.5
uc007pfo.1	22.3
uc008uhx.1	31.2
uc008nev.2	5.0
uc009nci.1	17.0
uc007mxb.1	142.6
uc009esu.1	12.2
uc007tav.1	1.8
uc008uib.1	71.4
uc007kfn.2	11.7
uc008zkj.1	11.1
uc007lex.1	6.2
uc009bmn.2	17.4
uc007cgt.3	12.4
uc009aji.1	23.2
uc008zyh.1	43.0
uc033ivj.1	13.2
uc007mum.1	18.7
uc008nth.2	10.3
uc008wrd.2	2.5
uc008lke.1	24.2
uc009gka.1	55.6
uc009eyr.1	16.9
uc008vtg.2	15.3
uc007mbu.2	12.9
