UCSC_ID	RPM
uc009ffc.2	87.0
uc012dny.1	3.4
uc008ptk.1	10.1
uc007pwj.1	20.6
uc007bvp.1	1321.8
uc008cfi.2	50.2
uc007kwl.1	12.9
uc007vfn.1	7.0
uc009usl.1	263.6
uc009efz.1	24.1
uc007jhm.1	8.1
uc009bja.1	2.2
uc008cfg.1	79.9
uc009cin.2	10.5
uc009dsm.2	119.8
uc008key.1	9.5
uc033iwc.1	171.3
uc008ubs.1	65.9
uc008uzd.1	71.8
uc008dzo.2	88.4
uc009djc.1	4536.5
uc007rjr.1	3.9
uc009ijj.2	13.5
uc007rxb.1	17.1
uc009aez.1	14.5
uc007vax.2	29.0
uc007leu.2	4015.9
uc007yde.1	50.4
uc007hjt.2	15.9
uc007jxo.1	2.9
uc007iyw.2	42.0
uc008emr.1	7.0
uc009qwl.1	25.8
uc007oft.1	165.0
uc008cfp.1	14.8
uc007mow.1	5.0
uc007lyt.2	1.1
uc008gyz.1	49.3
uc009nko.1	2.4
uc009gns.1	21.0
uc007cny.2	265.1
uc007nvk.2	16.0
uc008qxu.1	1.9
uc009ucg.1	30.7
uc009bez.3	18.9
uc008sca.3	2.0
uc007thh.2	116.7
uc009pxw.1	49.9
uc008mjs.1	33.9
uc009cxv.1	5.1
uc008egu.1	37.6
uc009mbm.1	34.1
uc007kmj.1	29.8
uc008xmh.1	23.2
uc008hgg.2	30.7
uc008xdo.1	140.2
uc008eki.2	60.1
uc007iik.1	43.8
uc007eyv.2	21.3
uc007qnd.1	40.1
uc008qwg.2	26.8
uc009lnz.1	57.6
uc009rvn.2	38.8
uc008ggw.1	12.0
uc007dwu.1	50.7
uc008pnx.1	4.5
uc009fmy.2	354.1
uc007ror.2	26.8
uc007cru.1	151.0
uc007zej.1	96.1
uc008ewv.2	9.2
uc009iif.1	13.2
uc007pcp.1	2.1
uc009qah.3	83.0
uc007fhi.1	0.4
uc007qyw.1	123.9
uc009gjk.1	44.6
uc007ktd.1	5.2
uc012fxo.1	57.3
uc007htz.2	26.6
uc008off.1	570.1
uc009jgj.1	4.2
uc008zhu.1	25.9
uc009ayk.2	26.6
uc008emc.2	16.7
uc012gyf.1	1.1
uc007gfm.1	3.8
uc009krq.1	46.5
uc011xyi.1	5.4
uc009mue.1	21.7
uc007ujs.2	21.9
uc012dqg.1	2.4
uc007mfm.1	15.7
uc008plk.1	4.1
uc008gow.1	5.8
uc007krg.2	32.5
uc009ifu.2	7.2
uc008qlo.2	6.3
uc009bdh.2	159.5
uc009les.1	164.7
uc008rfz.1	14.0
uc009oej.1	66.5
uc009ser.2	6.3
uc007nhy.1	4.7
uc007lfc.2	6.2
uc008ton.2	32.8
uc009cex.2	9.6
uc007hcx.2	169.7
uc008yki.2	98.5
uc007nyz.2	36.8
uc007irl.1	69.4
uc009bgh.2	33.6
uc009rxm.3	69.9
uc008svg.2	102.3
uc007uvh.2	12.3
uc008lts.3	10.7
uc008rwe.2	17.3
uc009ilj.2	75.7
uc008rwm.2	5.1
uc012gcr.1	94.1
uc007ayp.1	16.4
uc008bqp.2	723.7
uc007fdo.2	41.7
uc009jsd.1	15.4
uc007rtj.1	23.6
uc009mka.2	14.1
uc009kau.2	24.2
uc009bjp.2	1.7
uc007agb.1	39.7
uc008ree.2	16.1
uc008qcu.2	3.2
uc007lie.1	5.3
uc007obp.1	383.8
uc008xfb.2	12.2
uc007zad.1	17.4
uc007nky.2	185.9
uc007fdf.2	16.1
uc009gdn.1	36.2
uc008irr.1	14.7
uc033hrk.1	90.9
uc008llr.1	43.0
uc008npr.1	2.4
uc008arp.2	14.3
uc009ikd.1	7.1
uc007xqi.2	80.5
uc007kix.1	6.2
uc008bub.1	36.9
uc008ijz.1	2.5
uc007hsu.2	61.9
uc007yge.2	16.6
uc007dww.1	170.7
uc008bel.2	27.0
uc007igf.2	8.2
uc009kvb.2	13.0
uc007vjf.2	10.5
uc007nfn.2	22.6
uc009tnu.2	27.6
uc009hcn.2	19.3
uc009kvc.2	6.0
uc008jbb.1	6.0
uc007bzs.2	18.2
uc007ouf.1	37.5
uc007vad.1	6.2
uc007zgo.2	5.7
uc008wie.1	80.9
uc007hnk.2	6291.4
uc009qvg.2	9.6
uc007ixk.2	12.0
uc008qgt.1	3.4
uc011zae.1	14.4
uc009gmf.2	15.1
uc008dph.2	13.6
uc007rva.2	6.8
uc008jms.2	27.2
uc009ezj.1	2.8
uc012gxt.1	32.9
uc007brq.3	22.3
uc029swd.1	4.7
uc008fns.1	21.7
uc008tva.2	12.3
uc008rtw.1	11.7
uc008jkg.2	4.0
uc008ove.1	3.6
uc007uhn.1	2.1
uc007uko.1	7.5
uc007vde.1	2.6
uc009qsi.1	29.6
uc008dkh.1	62.1
uc007umo.2	8.9
uc007ujw.2	10.5
uc012cfb.1	6.5
uc008dzc.1	42.5
uc009kem.2	229.7
uc008elt.1	109.1
uc009psz.2	32.6
uc009ucs.1	1.9
uc009una.1	3.9
uc008iig.2	15.2
uc008xue.1	0.9
uc008gnh.1	201.8
uc008hnh.1	224.3
uc012eod.1	53.4
uc033iet.1	6.8
uc009rva.1	6.1
uc012eeq.1	304.1
uc009ntf.1	195.6
uc007jqc.2	77.2
uc009szl.1	0.8
uc008hnl.2	2.4
uc029spb.1	28.9
uc009mpd.1	90.5
uc008gfd.2	147.1
uc009fpu.2	98.7
uc012fgp.1	15.2
uc007nod.1	36.9
uc007jfv.2	81.4
uc007ykc.2	61.4
uc007ykj.2	32.8
uc007fwr.2	84.2
uc008sjh.2	52.2
uc012eiw.1	23.6
uc008gak.1	55.5
uc008cls.1	8.8
uc009mwv.1	13.4
uc009tsw.1	54.2
uc009gqf.1	13.8
uc008wcs.1	18.2
uc007pbi.1	7.0
uc009fnf.1	161.9
uc011wmz.1	65.0
uc029wnj.1	186.2
uc008zzl.1	6.4
uc008bbl.1	24.8
uc009rkb.1	158.1
uc008ysz.2	26.9
uc012fkm.1	148.0
uc009kow.1	27.7
uc009jup.1	204.8
uc009awf.1	19.0
uc007gdt.1	61.4
uc009rqt.1	37.5
uc008hni.2	54.3
uc008hio.1	8.0
uc008cab.2	55.9
uc008sih.1	26.8
uc007wyn.1	129.1
uc007jfi.1	16.4
uc009ezp.2	24.3
uc008asi.1	21.8
uc008sje.2	58.1
uc007tmf.1	0.7
uc009nsw.1	13.9
uc008gjn.2	33.2
uc007jhq.1	35.4
uc007cnv.3	9.2
uc009soj.2	57.7
uc008hgw.3	11.4
uc009fnk.2	53.6
uc008clt.1	50.8
uc029uzh.1	67.8
uc007ypu.2	141.7
uc007wmc.1	17.2
uc007cji.1	25.4
uc007gus.1	1.6
uc012flg.2	12.7
uc009mxh.2	9.0
uc009dvr.1	35.2
uc007rwz.1	15.4
uc012bgx.2	27.5
uc008wfq.1	19.3
uc009rog.1	13.3
uc007bpt.2	13.5
uc008omw.2	16.3
uc009nre.1	9.0
uc007whi.1	18.0
uc011zln.1	26.2
uc009fez.1	28.1
uc007wjz.2	16.9
uc007hwm.2	130.2
uc009ous.1	3.6
uc007cee.1	46.8
uc009agi.1	87.6
uc007pfo.1	27.8
uc008uhx.1	51.9
uc008nev.2	4.1
uc009nci.1	10.0
uc007mxb.1	165.4
uc009esu.1	20.6
uc007tav.1	41.0
uc008uib.1	97.8
uc007kfn.2	11.4
uc008zkj.1	7.1
uc007lex.1	17.3
uc009bmn.2	25.1
uc007cgt.3	19.2
