UCSC_ID	RPM
uc009ffc.2	131.7
uc012dny.1	0.5
uc008ptk.1	8.2
uc007pwj.1	21.9
uc007bvp.1	2273.6
uc008cfi.2	56.2
uc007kwl.1	11.0
uc007vfn.1	8.1
uc009usl.1	346.5
uc009efz.1	22.1
uc007jhm.1	1.0
uc009bja.1	0.6
uc008cfg.1	66.7
uc009cin.2	5.3
uc009dsm.2	181.3
uc008key.1	14.0
uc033iwc.1	36.4
uc008ubs.1	39.7
uc008uzd.1	76.9
uc008dzo.2	99.3
uc009djc.1	2069.3
uc007rjr.1	3.2
uc009ijj.2	7.3
uc007rxb.1	4.1
uc009aez.1	8.7
uc007vax.2	25.3
uc007leu.2	1716.5
uc007yde.1	74.3
uc007hjt.2	2.6
uc007jxo.1	1.1
uc007iyw.2	19.5
uc008emr.1	1.8
uc009qwl.1	39.6
uc007oft.1	72.5
uc008cfp.1	4.5
uc007mow.1	5.3
uc007lyt.2	3.2
uc008gyz.1	40.3
uc009nko.1	5.5
uc009gns.1	6.0
uc007cny.2	387.7
uc007nvk.2	15.1
uc008qxu.1	0.8
uc009ucg.1	9.9
uc009bez.3	29.8
uc008sca.3	4.5
uc007thh.2	97.5
uc009pxw.1	25.2
uc008mjs.1	23.0
uc009cxv.1	3.5
uc008egu.1	54.6
uc009mbm.1	29.2
uc007kmj.1	6.4
uc008xmh.1	15.0
uc008hgg.2	9.0
uc008xdo.1	74.2
uc008eki.2	32.6
uc007iik.1	9.2
uc007eyv.2	12.1
uc007qnd.1	22.6
uc008qwg.2	10.4
uc009lnz.1	73.6
uc009rvn.2	59.1
uc008ggw.1	7.7
uc007dwu.1	36.2
uc008pnx.1	2.5
uc009fmy.2	269.1
uc007ror.2	22.7
uc007cru.1	74.0
uc007zej.1	66.9
uc008ewv.2	8.2
uc009iif.1	6.5
uc007pcp.1	5.2
uc009qah.3	277.3
uc007fhi.1	14.7
uc007qyw.1	108.6
uc009gjk.1	36.8
uc007ktd.1	8.5
uc012fxo.1	5.5
uc007htz.2	11.2
uc008off.1	108.3
uc009jgj.1	2.0
uc008zhu.1	14.7
uc009ayk.2	18.8
uc008emc.2	12.8
uc012gyf.1	2.3
uc007gfm.1	1.7
uc009krq.1	26.8
uc011xyi.1	8.5
uc009mue.1	9.2
uc007ujs.2	13.1
uc012dqg.1	1.3
uc007mfm.1	14.6
uc008plk.1	7.0
uc008gow.1	7.6
uc007krg.2	6.3
uc009ifu.2	6.5
uc008qlo.2	3.4
uc009bdh.2	111.4
uc009les.1	64.1
uc008rfz.1	4.1
uc009oej.1	36.8
uc009ser.2	4.3
uc007nhy.1	8.0
uc007lfc.2	3.3
uc008ton.2	32.0
uc009cex.2	8.5
uc007hcx.2	91.7
uc008yki.2	115.5
uc007nyz.2	26.7
uc007irl.1	17.9
uc009bgh.2	17.4
uc009rxm.3	44.9
uc008svg.2	63.8
uc007uvh.2	9.3
uc008lts.3	10.6
uc008rwe.2	5.5
uc009ilj.2	49.9
uc008rwm.2	14.0
uc012gcr.1	54.0
uc007ayp.1	30.7
uc008bqp.2	963.7
uc007fdo.2	25.9
uc009jsd.1	29.2
uc007rtj.1	46.1
uc009mka.2	10.4
uc009kau.2	11.0
uc009bjp.2	1.4
uc007agb.1	29.0
uc008ree.2	3.8
uc008qcu.2	2.3
uc007lie.1	4.8
uc007obp.1	339.8
uc008xfb.2	8.2
uc007zad.1	5.4
uc007nky.2	166.6
uc007fdf.2	18.8
uc009gdn.1	47.4
uc008irr.1	26.1
uc033hrk.1	42.2
uc008llr.1	62.9
uc008npr.1	5.2
uc008arp.2	11.6
uc009ikd.1	17.0
uc007xqi.2	24.5
uc007kix.1	9.6
uc008bub.1	41.0
uc008ijz.1	23.3
uc007hsu.2	51.7
uc007yge.2	14.0
uc007dww.1	53.8
uc008bel.2	12.9
uc007igf.2	8.8
uc009kvb.2	18.8
uc007vjf.2	11.6
uc007nfn.2	13.0
uc009tnu.2	18.9
uc009hcn.2	4.1
uc009kvc.2	11.3
uc008jbb.1	7.2
uc007bzs.2	31.3
uc007ouf.1	34.9
uc007vad.1	7.7
uc007zgo.2	9.4
uc008wie.1	55.7
uc007hnk.2	560.9
uc009qvg.2	10.3
uc007ixk.2	9.5
uc008qgt.1	5.7
uc011zae.1	6.7
uc009gmf.2	10.2
uc008dph.2	25.3
uc007rva.2	5.0
uc008jms.2	12.6
uc009ezj.1	1.3
uc012gxt.1	23.3
uc007brq.3	10.4
uc029swd.1	6.9
uc008fns.1	22.7
uc008tva.2	33.6
uc008rtw.1	6.4
uc008jkg.2	5.9
uc008ove.1	2.3
uc007uhn.1	8.5
uc007uko.1	12.0
uc007vde.1	33.7
uc009qsi.1	60.1
uc008dkh.1	42.9
uc007umo.2	3.5
uc007ujw.2	21.3
uc012cfb.1	6.4
uc008dzc.1	49.8
uc009kem.2	159.7
uc008elt.1	65.4
uc009psz.2	38.0
uc009ucs.1	5.8
uc009una.1	5.7
uc008iig.2	16.5
uc008xue.1	3.0
uc008gnh.1	83.8
uc008hnh.1	125.9
uc012eod.1	103.3
uc033iet.1	8.4
uc009rva.1	7.1
uc012eeq.1	696.3
uc009ntf.1	292.1
uc007jqc.2	26.9
uc009szl.1	2.9
uc008hnl.2	3.5
uc029spb.1	46.0
uc009mpd.1	52.5
uc008gfd.2	178.5
uc009fpu.2	164.7
uc012fgp.1	9.9
uc007nod.1	44.5
uc007jfv.2	48.8
uc007ykc.2	40.5
uc007ykj.2	36.2
uc007fwr.2	36.4
uc008sjh.2	59.4
uc012eiw.1	11.4
uc008gak.1	33.8
uc008cls.1	8.4
uc009mwv.1	6.5
uc009tsw.1	80.3
uc009gqf.1	6.8
uc008wcs.1	23.9
uc007pbi.1	7.4
uc009fnf.1	104.4
uc011wmz.1	206.2
uc029wnj.1	76.0
uc008zzl.1	8.5
uc008bbl.1	18.6
uc009rkb.1	203.4
uc008ysz.2	25.9
uc012fkm.1	201.7
uc009kow.1	35.4
uc009jup.1	169.4
uc009awf.1	6.5
uc007gdt.1	84.2
uc009rqt.1	99.2
uc008hni.2	23.9
uc008hio.1	6.5
uc008cab.2	142.2
uc008sih.1	25.0
uc007wyn.1	97.5
uc007jfi.1	4.6
uc009ezp.2	13.4
uc008asi.1	23.8
uc008sje.2	39.1
uc007tmf.1	2.5
uc009nsw.1	11.5
uc008gjn.2	14.7
uc007jhq.1	53.8
uc007cnv.3	11.7
uc009soj.2	68.6
uc008hgw.3	20.6
uc009fnk.2	74.1
uc008clt.1	53.5
uc029uzh.1	30.3
uc007ypu.2	239.1
uc007wmc.1	11.7
uc007cji.1	31.7
uc007gus.1	11.4
uc012flg.2	11.5
uc009mxh.2	10.9
uc009dvr.1	39.1
uc007rwz.1	7.6
uc012bgx.2	20.3
uc008wfq.1	12.4
uc009rog.1	26.7
uc007bpt.2	22.3
uc008omw.2	5.2
uc009nre.1	1.8
uc007whi.1	32.4
uc011zln.1	40.1
uc009fez.1	33.1
uc007wjz.2	23.3
uc007hwm.2	106.2
uc009ous.1	7.7
uc007cee.1	18.4
uc009agi.1	55.2
uc007pfo.1	16.6
uc008uhx.1	37.4
uc008nev.2	8.9
uc009nci.1	31.3
uc007mxb.1	277.8
uc009esu.1	20.3
uc007tav.1	13.3
uc008uib.1	76.3
uc007kfn.2	13.7
uc008zkj.1	10.5
uc007lex.1	3.9
uc009bmn.2	17.7
uc007cgt.3	18.4
uc009aji.1	35.1
uc008zyh.1	47.3
uc033ivj.1	10.3
uc007mum.1	14.7
uc008nth.2	7.2
uc008wrd.2	6.9
uc008lke.1	37.6
uc009gka.1	34.0
uc009eyr.1	11.2
uc008vtg.2	27.7
uc007mbu.2	27.7
uc009lvu.2	83.7
uc007mvh.2	1.7
uc007cdo.1	24.8
uc008qme.1	160.5
uc009mqv.1	83.2
uc008dan.1	15.4
uc008hsd.1	144.3
uc007keb.2	19.9
uc009ric.2	16.6
uc007dyz.1	59.1
uc008lko.2	7.0
uc008wwv.1	17.0
uc007jup.2	111.8
uc009dhv.2	29.1
uc009afz.1	41.9
uc007kzw.1	69.1
uc007xsv.2	40.1
uc008pdm.2	442.2
uc009gtr.1	27.9
uc009qdq.1	17.3
uc008cam.1	46.0
uc008jco.1	33.7
uc009nqa.2	4.6
uc009pwp.2	187.1
uc008ujd.1	17.6
uc009mcd.2	48.5
uc007glg.2	34.8
uc008ktt.1	20.9
uc009qqy.2	8.1
uc008lyi.2	16.7
uc007jks.2	84.0
uc008jeh.1	120.8
uc009rqj.1	67.1
uc008jgm.2	61.8
uc008gaf.2	17.7
uc008vqc.2	5.8
uc007hzk.1	149.1
uc007nzv.2	8.6
uc008mhf.2	119.7
uc008yzk.1	5.6
uc007kfi.2	0.3
uc008uho.1	11.6
uc007hvm.1	28.9
uc008ceo.1	4.7
uc008mjm.3	9.6
uc007fzo.2	20.0
uc009gfg.1	47.3
uc008ghu.1	29.9
uc012cjs.1	16.8
uc007wga.1	1.3
uc008cbs.1	4.3
uc007mui.1	19.3
uc008gli.1	44.9
uc009qbq.1	1.7
uc007pfm.1	27.4
uc008fzm.2	5.2
uc009keq.1	21.7
uc007prj.1	634.5
uc007puu.1	512.5
uc009prp.2	34.5
uc009qug.2	2141.9
uc007prc.1	441.4
uc007pug.1	533.6
uc007pud.1	388.4
uc008ilx.1	26.4
uc007zvz.1	930.2
uc009kfg.1	122.6
uc008ubu.1	5.5
uc007pur.1	1235.4
uc007put.1	432.3
uc007dky.1	16.7
uc007ptz.2	1268.5
uc007nfe.2	30.7
uc007jvz.2	97.0
uc008stm.2	14.6
uc007pun.1	58.6
uc007wor.1	23.3
uc007prw.2	3.5
uc007fqm.1	322.9
uc009ijd.2	115.5
uc007puz.1	2155.0
uc009uia.2	79.0
