uc009dsm.2	NM_026988
uc009qsi.1	NM_016963
uc008key.1	
uc009bdh.2	NM_184053
uc007qyw.1	
uc007zej.1	NM_008047
uc008eki.2	NM_007874
uc007rtj.1	NM_026072
uc009efz.1	NM_020590
uc008mjs.1	NM_029832
uc033iwc.1	NM_001289849
uc009qah.3	NM_009672
uc008cfi.2	NM_001190449
uc008llr.1	NM_001025102
uc007fdo.2	NM_011030
uc007ful.1	NM_001282992
uc007jxz.1	NM_144526
uc008uzv.1	NM_010686
uc008jen.2	NM_001159634
uc009elo.1	NM_010128
uc008drz.2	NM_001114361
uc008pgi.2	NM_028937
uc007cyb.2	NM_133780
uc007jzh.1	NM_009671
uc007lgr.1	NM_025661
uc008dek.2	NM_001242389
uc009omm.2	NM_145611
uc007pun.1	
uc008zer.1	NM_007708
uc008rkz.1	NM_173762
uc009ele.2	NM_181444
uc009tjf.1	NM_026787
uc029tic.1	NM_001252475
uc007hng.1	NM_011843
uc029rqi.1	NM_001254735
uc007fto.1	
uc033gwu.1	NM_001270537
uc009dmk.1	NM_053204
uc007wvd.1	NM_207708
uc008sed.2	NM_026742
uc011xth.1	NM_001131054
uc007wyi.1	NM_033218
uc007pjz.1	
uc009fvc.1	NM_029391
uc007qux.1	NM_001035122
uc009tep.1	
uc007lpg.2	NM_001252220
uc007hne.1	NM_172259
uc008cyv.3	NM_010021
uc007wsd.1	NM_008197
uc008kck.2	NM_025854
uc009pek.1	NM_023831
uc009nxh.1	NM_145607
uc009pfa.2	NM_007962
uc008xgk.1	NM_025480
uc008gpb.1	NM_019699
uc009nma.1	NM_009149
uc009iah.3	NM_145150
uc007nhd.1	NM_008482
uc008evz.1	NM_178377
uc007odq.1	NM_008943
uc009tgj.1	NM_146234
uc008bfi.2	NM_080553
uc008hwk.3	NM_001277100
uc008mrn.1	NM_001033297
uc007vxq.1	NM_009270
uc009dgu.1	NM_175101
uc009bfj.1	
uc008qsf.1	NM_025679
uc007uln.1	NM_010910
uc008exu.1	NM_008908
uc008nuq.1	NM_011521
uc007sul.1	NM_019979
uc008aky.1	NM_010515
uc007ilc.2	NM_027411
uc007upt.1	NM_008410
uc009jsq.1	NM_026875
uc009ded.2	NM_001167730
uc009obn.1	NM_145609
uc008bef.1	NM_026170
uc008enl.2	NM_010415
uc007fei.2	NM_001199187
uc007wto.2	NM_134090
uc008ttc.1	NM_030014
uc007iup.2	NM_025535
uc009npm.1	NM_024219
uc007dkj.1	NM_021610
uc009lev.2	NM_013834
uc009twh.2	NM_008446
uc008jdj.2	NM_001177648
uc009bay.1	NM_138587
uc008lua.1	NM_133851
uc009sfl.1	NM_010620
uc009tku.1	NM_019405
uc009upx.2	NM_019710
