uc009dsm.2	NM_026988
uc009jsd.1	NM_019738
uc007hnk.2	NM_018860
uc009qsi.1	NM_016963
uc007pwj.1	NM_025790
uc008oas.1	NM_010072
uc007vax.2	NM_029556
uc007ujw.2	NM_007940
uc009bez.3	NM_009459
uc029wdl.1	
uc008bqp.2	NM_011287
uc008hgg.2	NM_007392
uc009mbm.1	NM_023065
uc008key.1	
uc009ilj.2	NM_009825
uc009bdh.2	NM_184053
uc007qyw.1	
uc029qyg.1	
uc009kau.2	NM_019564
uc008irr.1	NM_001033293
uc007zej.1	NM_008047
uc008eki.2	NM_007874
uc008cfg.1	NM_033444
uc008xdo.1	NM_013587
uc007rtj.1	NM_026072
uc009usl.1	NM_025437
uc009aez.1	NM_178612
uc007bvp.1	NM_008972
uc008gyz.1	NM_025423
uc008off.1	NM_025983
uc009kem.2	NM_001081117
uc009qwl.1	NM_172507
uc009efz.1	NM_020590
uc008mjs.1	NM_029832
uc033iwc.1	NM_001289849
uc009qah.3	NM_009672
uc007cru.1	NM_028057
uc009rxm.3	NM_009752
uc007yde.1	NM_026594
uc008cfi.2	NM_001190449
uc009djc.1	NM_172086
uc007hcx.2	NM_026570
uc007obp.1	NM_009159
uc007hsu.2	NM_010718
uc007iyw.2	NM_010299
uc007ujs.2	
uc007ayp.1	
uc008yki.2	NM_009263
uc008svg.2	NM_001145925
uc007uko.1	NM_009955
uc009ucg.1	NM_008409
uc009les.1	NM_001042484
uc008llr.1	NM_001025102
uc009rvn.2	NM_001164838
uc008dzo.2	NM_181070
uc007fdo.2	NM_011030
uc009krq.1	NM_053177
uc009ffc.2	NM_026885
uc008tva.2	NM_028132
uc007thh.2	NM_022023
uc007leu.2	NM_022891
uc008zua.1	NM_007761
uc009oti.2	NM_029762
uc007hfo.1	NM_029364
uc008uoh.2	NM_008917
uc009mjp.1	NM_145600
uc007iup.2	NM_025535
uc008pyc.1	
uc007dvj.1	NM_027188
uc007brx.1	
uc008vmg.2	NM_146157
uc007npc.2	NM_145442
uc008ten.2	NM_175090
uc008dcn.2	NM_018730
uc008ovh.1	NM_027016
uc009cne.2	NM_008638
uc008wel.2	NM_026899
uc008gpe.2	NM_146094
uc007vlr.2	NM_001163485
uc008vdq.1	NM_016957
uc009uzd.2	NM_012011
uc008zor.1	NM_026603
uc007uca.1	NM_001033043
uc008kad.2	NM_001165980
uc007asj.1	NM_027098
uc009qug.2	NM_025274
uc008jxw.2	
uc007jvt.1	
uc007pog.2	NM_025904
uc009mpj.1	NM_001001493
uc008liw.2	NM_009804
uc009tyl.2	
uc007ygs.2	NM_001270718
uc008aic.1	NM_026611
uc009nmx.1	NM_011801
uc012eho.1	NM_201369
uc007vpv.1	NM_175009
uc007cql.2	NM_009227
uc008qbl.2	NM_027015
uc009eiq.1	NM_025564
uc008ngz.1	NM_178939
uc007xxr.2	NM_001039129
uc007rym.2	NM_010330
uc009ton.2	NM_138607
uc007hnv.2	NM_177411
uc007uhh.2	NM_007798
uc008qkk.1	NM_019561
uc008ntr.1	
uc008wyt.2	NM_025796
uc008ejz.1	NM_013512
uc009mkh.2	NM_001039137
uc008ojq.1	
uc007rvy.1	NM_172593
uc007ani.1	NM_011200
uc007bad.1	NM_025283
uc007qdw.1	NM_025380
uc007kpf.1	NM_027427
uc007hkg.2	NM_001113211
uc012edr.1	NM_019639
uc007fhf.2	NM_001113355
uc033hmh.1	NM_001177659
uc008ynh.2	NM_016980
uc008yjt.1	NM_133919
uc007ygk.2	NM_010946
uc009quh.2	NM_026480
uc007lnh.2	NM_008949
uc007zcd.1	NM_027342
uc009ldk.2	NM_011130
uc007ugl.1	NM_026001
uc009izg.1	
uc007ifp.2	NM_172555
uc009qbq.1	NM_033607
uc008kij.1	NM_011576
uc008qzx.1	NM_025845
uc008jtx.1	NM_020575
uc009npm.1	NM_024219
uc008tgq.2	NM_024173
uc007dkj.1	NM_021610
uc008sby.1	NM_027769
uc007ujp.2	NM_028039
uc009uij.1	NM_011712
uc009uuh.1	
uc009lub.2	NM_145595
uc008wqe.1	NM_009274
uc007mhw.1	NM_133354
uc008ffn.2	NM_027400
uc008hxd.2	NM_001168491
uc007hlc.2	NM_001113199
uc008vqa.1	
uc008khy.1	NM_026934
uc009lev.2	NM_013834
uc008llf.2	NM_026992
uc009con.2	NM_008717
uc008sib.1	NM_029814
uc008bsa.1	NM_134115
uc007ztg.2	NM_023844
uc009qtm.2	NM_010295
uc009rzl.2	NM_026442
uc007bqu.2	NM_001111279
uc008wew.1	NM_207678
uc007hvf.2	NM_010898
uc007aiu.2	NM_145381
uc007kil.3	NM_207523
uc008vwl.1	NM_026963
uc008mho.2	NM_181589
uc009twh.2	NM_008446
uc008hfo.1	NM_026487
uc008gwt.1	NM_008139
uc008htt.1	NM_019718
uc011zrp.1	NM_001165971
uc009rmx.2	NM_148930
uc007oaa.1	NM_021557
uc008pte.1	NM_026591
uc008wvx.1	NM_023047
uc008jag.1	NM_026615
uc012gbt.1	NR_033590
uc007xxn.1	NM_001076789
uc008qio.2	NM_172512
uc007amj.2	NM_026503
uc008ubp.1	NM_027453
uc007bir.2	NM_007381
uc008jdj.2	NM_001177648
uc033igy.1	NM_001277113
uc009bay.1	NM_138587
uc007jnj.1	NM_018768
uc008akm.1	NM_026644
uc007ica.1	NM_024459
uc007ycs.1	NM_016881
uc007hax.2	NM_025706
uc007zqj.1	NM_026879
uc007afi.2	NM_011541
uc009csn.2	NM_013471
uc007ajl.3	NM_011291
uc009pir.1	NM_175482
uc008ifd.2	NM_010726
uc007ewp.1	NM_023323
uc008lua.1	NM_133851
uc009mfi.1	NM_001001491
uc007ntu.1	NM_028339
uc008fvv.1	NM_198295
uc007qmh.2	NM_025415
uc007gww.2	NM_007569
uc007gyp.1	NM_025602
uc007pbl.2	NM_012023
uc008fdp.2	NM_028017
uc012czn.1	NM_178016
uc009kww.2	NM_146207
uc009sfl.1	NM_010620
uc008ees.2	
uc009ola.2	NM_152808
uc009lqg.1	NM_027973
uc007jqo.1	NM_013415
uc008tkw.1	
uc009tku.1	NM_019405
uc008swz.2	NM_133891
uc008czn.1	NM_025887
uc009upx.2	NM_019710
uc009gmi.2	NM_001034893
uc007uuu.2	NM_175245
uc009fvf.2	NM_019394
uc009jxu.2	NM_023258
uc009ugf.2	NM_019865
uc009lhr.2	NM_153592
uc008qve.2	NM_145541
uc008ken.2	NM_146130
uc008zxd.3	NM_009903
uc008dod.2	NM_026417
uc007dac.1	NM_028749
uc009tre.2	NM_138751
uc009gvn.2	NM_001163662
uc008khj.1	NM_024181
