AccNum,Energy
NM_017582,-0.3728132387706856
NM_001276267,-0.3736900780379041
NM_173469,-0.2599290780141844
NM_001330474,-0.3405548755609955
NM_014372,-0.29053763440860214
NM_007282,-0.23376963350785337
NM_014012,-0.39141583054626533
NM_173527,-0.4051808406647116
NM_004710,-0.4192592592592593
NM_001143909,-0.3234352256186317
NM_052942,-0.28495173197047136
NM_033446,-0.3030208333333333
NM_031277,-0.2503694581280788
NM_001114132,-0.2629313543599258
NM_001085365,-0.47924528301886793
NM_001330282,-0.46925418569254185
NM_000489,-0.23990373044524668
NM_000303,-0.28259109311740893
NM_001346946,-0.30793226381461675
NM_000050,-0.35504439063761095
NM_001320900,-0.32522522522522523
NM_030572,-0.31851851851851853
NM_152601,-0.2618380062305296
NM_001297560,-0.17973333333333336
NM_001353374,-0.2609338061465721
NM_001080528,-0.36227642276422767
NM_024993,-0.26043673731535005
NM_025069,-0.5028200789622109
NM_000997,-0.26632653061224487
NM_001172655,-0.27406015037593984
NM_001271848,-0.26474530831099197
NM_001288805,-0.428673835125448
NM_001145652,-0.46884353741496604
NM_001033723,-0.3247780468119451
NM_001303124,-0.387816091954023
NM_001330566,-0.24877171959257038
NM_014455,-0.3016393442622951
NM_018471,-0.23239656518345042
NM_001326297,-0.257230915125652
NM_001030288,-0.4251039068994181
NM_001330331,-0.27752324037184595
NM_001294340,-0.38445807770961143
NM_007327,-0.4007809726659567
NM_001322216,-0.33386187455954897
NM_001145250,-0.5149828178694158
NM_001135243,-0.39664204163868366
NM_032141,-0.2041741204531902
NM_016320,-0.31415880066629653
NM_004628,-0.3477860432164364
NM_138473,-0.34474130619168786
NM_003110,-0.3654723127035831
NM_003111,-0.3039514066496164
NM_001242795,-0.3295552367288379
NM_001003845,-0.49214703425229744
NM_001258248,-0.4880636604774536
NM_024046,-0.37722443559096946
NM_139015,-0.29982683982683983
NM_014498,-0.25480631276901
NM_025136,-0.4559259259259259
NM_214711,-0.34606060606060607
NM_130837,-0.2546587926509187
NM_001172663,-0.3949172576832152
NM_006822,-0.4136200716845878
NM_080879,-0.37386091127098325
NM_181617,-0.38730158730158726
NM_001085480,-0.39059304703476483
NM_001436,-0.38685300207039336
NM_000094,-0.499830220713073
NM_016426,-0.36837837837837833
NM_001101376,-0.27358024691358024
