GeneName	AccNum	Chrom	mRNALength	ORFLength	fpUTR_length	tpUTR_length	sumIntronLengths
Plekhg2	NM_001290542	chr7	5272	4023	1048	201	7787
1700006E09Rik	NM_029287	chr11	698	495	58	145	4511
Cers4	NM_026058	chr8	3668	1182	187	2299	29007
Plekhg1	NM_001159942	chr10	7355	4173	332	2850	219571
Cers2	NM_029789	chr3	2110	1143	157	810	6300
Cers3	NM_001164201	chr7	3251	1260	141	1850	76938
Plekhg4	NM_001081333	chr8	4167	3546	0	621	3315
Plekhg3	NM_153804	chr12	4955	4026	298	631	40525
Nsa2	NM_021552	chr13	2686	783	169	1734	5814
Mug2	NM_008646	chr6	4544	4356	61	127	74626
Zfp846	NM_172919	chr9	2755	1626	407	722	11111
Nampt	NM_021524	chr12	4547	1476	235	2836	28488
Ube2d3	NM_025356	chr3	2619	444	237	1938	25801
Bpifb3	NM_194357	chr2	1821	1422	140	259	12946
Bpifb2	NM_025631	chr2	1730	1389	101	240	18496
Bpifb1	NM_001012392	chr2	1673	1425	118	130	27853
Sept7	NM_001205367	chr9	2530	1311	200	1019	53587
Bpifb6	NM_199303	chr2	1667	1350	146	171	10739
Bckdk	NM_009739	chr7	2857	1239	265	1353	2735
Bpifb4	NM_001034875	chr2	2115	1854	15	246	20876
Gm14393	NM_001085546	chr2	631	564	67	0	5590
Hspbap1	NM_175111	chr16	4606	1452	90	3064	53471
Gm9573	NM_001244654	chr17	5231	4821	200	210	3484
Shank3	NM_021423	chr15	7130	5193	0	1937	53274
Shank2	NM_001113373	chr7	6359	4419	400	1540	240797
Shank1	NM_001034115	chr7	7596	6504	76	1016	40494
Syt8	NM_018802	chr7	1503	1188	220	95	3917
Syt9	NM_021889	chr7	3816	1476	213	2127	174050
Gm10377	NM_001244671	chr14	848	555	8	285	4541
Ankrd7	NM_001167757	chr6	1191	843	165	183	12076
Mier1	NM_027696	chr4	4838	1587	248	3003	46527
Mier2	NM_001316699	chr10	2605	1626	46	933	12279
