AccNum,Efficiency
NM_017582,101
NM_001276267,111
NM_173469,79
NM_001330474,34
NM_014372,102
NM_007282,93
NM_014012,97
NM_173527,85
NM_004710,69
NM_001143909,129
NM_052942,116
NM_033446,79
NM_031277,101
NM_001114132,117
NM_001085365,94
NM_001330282,131
NM_000489,91
NM_000303,109
NM_001346946,116
NM_000050,95
NM_001320900,92
NM_030572,87
NM_152601,74
NM_001297560,76
NM_001353374,110
NM_001080528,112
NM_024993,89
NM_025069,88
NM_000997,99
NM_001172655,103
NM_001271848,71
NM_001288805,64
NM_001145652,63
NM_001033723,93
NM_001303124,79
NM_001330566,89
NM_014455,96
NM_018471,71
NM_001326297,79
NM_001030288,125
NM_001330331,81
NM_001294340,70
NM_007327,71
NM_001322216,141
NM_001145250,NaN
NM_001135243,142
NM_032141,117
NM_016320,111
NM_004628,107
NM_138473,80
NM_003110,79
NM_003111,112
NM_001242795,109
NM_001003845,105
NM_001258248,90
NM_024046,73
NM_139015,97
NM_014498,98
NM_025136,81
NM_214711,97
NM_130837,81
NM_001172663,98
NM_006822,82
NM_080879,88
NM_181617,88
NM_001085480,94
NM_001436,89
NM_000094,NaN
NM_016426,62
NM_001101376,113
NM_198185,NaN
NM_001353179,103
NM_001042465,99
NM_001005170,80
NM_032802,93
NM_175882,125
NM_017433,106
NM_002207,106
NM_003358,117
NM_138995,75
NM_004320,76
NM_170665,76
NM_174953,70
NM_181501,112
NM_002203,104
NM_001258310,108
NM_000885,86
NM_002205,99
NM_006912,77
NM_001144996,91
NM_003301,78
NM_001660,87
NM_001354435,58
NM_001293172,84
NM_001320835,96
NM_014856,102
NM_017863,98
NM_001006635,82
NM_015055,98
NM_206963,70
NM_007350,44
NM_018359,85
NM_001290043,90
NM_002676,105
NM_001130064,99
NM_015430,82
NM_003129,77
NM_021624,72
NM_001316942,74
NM_152902,110
NM_007232,68
NM_001163315,73
NM_001098213,87
NM_001099784,59
NM_024963,98
NM_000020,94
NM_182562,46
NM_001142623,90
NM_033625,89
NM_152744,113
NM_001144952,NaN
NM_152786,82
NM_002091,84
NM_172138,94
NM_001128228,NaN
NM_024817,93
NM_019099,66
NM_203370,61
NM_031422,110
NM_022467,81
NM_000495,91
NM_001017363,NaN
NM_000091,89
NM_001846,89
NM_001845,83
NM_001004064,NaN
NM_003654,105
NM_004273,65
NM_004267,70
NM_024533,94
NM_001166395,107
NM_019886,96
NM_021615,82
NM_000887,109
NM_001272069,131
NM_001005205,107
NM_001098,116
NM_021958,107
NM_001242784,54
NM_005450,78
NM_001355387,51
NM_002210,110
NM_001282208,97
NM_003656,80
NM_002209,92
NM_001145808,112
NM_002126,74
NM_002514,107
NM_001318185,93
NM_001330176,75
NM_001319240,58
NM_000062,115
NM_001127217,43
NM_001297573,87
NM_002337,124
NM_000586,96
NM_005585,37
NM_005904,64
NM_018178,102
NM_001354811,110
NM_203437,80
NM_005902,85
NM_001350283,99
NM_003943,104
NM_182606,44
NM_182502,111
NM_000876,89
NM_004262,102
NM_014058,96
NM_207407,42
NM_001355570,101
NM_022304,124
NM_032750,114
NM_001136566,100
NM_001286139,74
NM_001145017,87
NM_181776,88
NM_001349740,74
NM_001557,83
NM_001287395,99
NM_007148,58
NM_173549,93
NM_001130514,78
NM_001002912,74
NM_001290030,NaN
NM_001303100,87
NM_057090,78
NM_004314,111
NM_001130016,91
NM_053017,115
NM_021071,101
NM_024548,109
NM_001287746,111
NM_198723,75
NM_003196,83
NM_006756,75
NM_032609,92
NM_001318794,108
NM_016561,75
NM_207581,95
