AccNum,Energy
NM_017582,-48.98
NM_001276267,-156.85
NM_173469,-225.02
NM_001330474,-216.39
NM_014372,-267.3
NM_007282,-326.97
NM_014012,-107.26
NM_173527,-17.22
NM_004710,-31.97
NM_001143909,-28.18
NM_052942,-141.57
NM_033446,-45.65
NM_031277,-7.47
NM_001114132,-98.68
NM_001085365,-59.64
NM_001330282,-175.28
NM_000489,-95.73
NM_000303,-26.08
NM_001346946,-221.44
NM_000050,-210.16
NM_001320900,-166.17
NM_030572,-54.13
NM_152601,-71.38
NM_001297560,-172.21
NM_001353374,-498.57
NM_001080528,-16.0
NM_024993,-132.31
NM_025069,-132.03
NM_000997,-35.8
NM_001172655,-87.16
NM_001271848,-64.54
NM_001288805,-346.95
NM_001145652,-157.14
NM_001033723,-77.72
NM_001303124,-120.89
NM_001330566,-186.0
NM_014455,-140.0
NM_018471,-99.37
NM_001326297,-183.63
NM_001030288,-34.93
NM_001330331,-209.73
NM_001294340,-79.2
NM_007327,-183.59
NM_001322216,-352.18
NM_001135243,-38.32
NM_032141,-10.22
NM_016320,-191.74
NM_004628,-41.67
NM_138473,-23.7
NM_003110,-56.22
NM_003111,-243.86
NM_001242795,-160.49
NM_001003845,-94.27
NM_001258248,-113.56
NM_024046,-224.17
NM_139015,-249.0
NM_014498,-323.64
NM_025136,-37.93
NM_214711,-32.62
NM_130837,-115.24
NM_001172663,-117.48
NM_006822,-79.09
NM_080879,-103.04
NM_181617,-0.26
NM_001085480,-67.6
NM_001436,-47.12
NM_016426,-78.04
NM_001101376,-11.96
NM_001353179,-721.39
NM_001042465,-69.46
NM_001005170,-1.45
NM_032802,-88.17
NM_175882,-0.29
NM_017433,-148.79
NM_002207,-24.09
NM_003358,-266.32
NM_138995,-36.29
NM_004320,-60.5
NM_170665,-366.87
NM_174953,-102.01
NM_181501,-18.08
NM_002203,-51.12
NM_001258310,-46.22
NM_000885,-322.83
NM_002205,-21.12
NM_006912,-90.83
NM_001144996,-103.13
NM_003301,-16.16
NM_001660,-158.1
NM_001354435,-1.73
NM_001293172,-8.62
NM_001320835,-175.0
NM_014856,-251.45
NM_017863,-248.18
NM_001006635,-208.3
NM_015055,-49.06
NM_206963,-22.01
NM_007350,-10.11
NM_018359,-54.79
NM_001290043,-76.36
NM_002676,-21.04
NM_001130064,-162.44
NM_015430,-199.29
NM_003129,-369.98
NM_021624,-20.96
NM_001316942,-213.14
NM_152902,-100.06
NM_007232,-168.42
NM_001163315,-196.59
NM_001098213,-117.57
NM_001099784,-46.82
NM_024963,-64.49
NM_000020,-147.98
NM_182562,-79.36
NM_001142623,-96.76
NM_033625,-38.19
NM_152744,-90.25
NM_152786,-163.26
NM_002091,-38.52
NM_172138,-9.54
NM_024817,-16.7
NM_019099,-95.3
NM_203370,-74.67
NM_031422,-132.86
NM_022467,-324.66
NM_000495,-107.6
NM_000091,-75.67
NM_001846,-159.2
NM_001845,-64.27
NM_003654,-394.57
NM_004273,-242.9
NM_004267,-506.87
NM_024533,-483.49
NM_001166395,-80.98
NM_019886,-121.82
NM_021615,-70.53
NM_000887,-23.21
NM_001272069,-73.82
NM_001005205,-2.03
NM_001098,-1.16
NM_021958,-193.79
NM_001242784,-576.96
NM_005450,-284.28
NM_001355387,-47.25
NM_002210,-152.46
NM_001282208,-74.3
NM_003656,-103.5
NM_002209,-53.03
NM_001145808,-23.54
NM_002126,-209.29
NM_002514,-80.71
NM_001318185,-4.74
NM_001330176,-155.44
NM_001319240,-360.64
NM_000062,-54.91
NM_001127217,-156.89
NM_001297573,-203.37
NM_002337,-31.58
NM_000586,-1.03
NM_005585,-418.21
NM_005904,-148.57
NM_018178,-62.83
NM_001354811,-275.1
NM_203437,-160.17
NM_005902,-159.13
NM_001350283,-167.05
