,logLikelihood,Gene,AccNum
0,-14.542486125137456,MYO1D,NM_015194
1,-14.550682892341635,PPP1R14B,NM_138689
2,-14.663012077315555,AGFG1,NM_001135187
3,-14.66846592799802,LAMP1,NM_005561
4,-14.691182954282251,AFG3L2,NM_006796
5,-14.708471262611717,LRRC47,NM_020710
6,-14.745426969134147,E2F4,NM_001950
7,-14.773826443655846,N4BP1,NM_153029
8,-14.78257923476544,FBXW4,NM_022039
9,-14.790776001969618,FIP1L1,NM_030917
10,-14.791844949158524,CHKB,NM_005198
11,-14.84533363410951,CCDC6,NM_005436
12,-14.84711775590301,DENND4B,NM_014856
13,-14.889008697612171,METTL17,NM_001029991
14,-14.903113303793713,RASA2,NM_001303246
15,-14.920645782555354,UBQLN4,NM_020131
16,-14.968570520448356,KHDC4,NM_014949
17,-14.978620856301857,BICD2,NM_001003800
18,-14.998423483598037,GNPTG,NM_032520
19,-15.081311143403806,SF1,NM_004630
20,-15.089679393074322,TRIM8,NM_030912
21,-15.103783999255864,GOPC,NM_020399
22,-15.103783999255864,AEBP2,NM_153207
23,-15.110752668571957,GTF3C6,NM_138408
24,-15.15727268420685,MIB2,NM_080875
25,-15.163787365228044,PDCD2L,NM_032346
26,-15.184406652430779,MPC2,NM_001143674
27,-15.190795376245493,DGKD,NM_152879
28,-15.225480934233383,TRIM27,NM_006510
29,-15.225480934233383,TPM1,NM_001330351
30,-15.245683641550903,CNTLN,NM_017738
31,-15.255664530548584,FAM105A,NM_019018
32,-15.257934679083123,RPS19BP1,NM_194326
33,-15.269769136730126,SEC24B,NM_001300813
34,-15.274271098402815,RRP1B,NM_015056
35,-15.281570400884428,ECH1,NM_001398
36,-15.299588906387106,EHMT1,NM_024757
37,-15.309741277851124,RNF126,NM_194460
38,-15.316877214716573,COLGALT1,NM_024656
39,-15.33084144989121,NDUFB10,NM_004548
40,-15.33084144989121,ICMT,NM_012405
41,-15.347791008204984,PLCB3,NM_000932
42,-15.381313700243627,CDC42BPB,NM_006035
43,-15.38978398552466,AGPS,NM_003659
44,-15.391466071707645,RPS6KB2,NM_003952
45,-15.399834321378162,RPL28,NM_001136134
46,-15.416783879691934,ZYX,NM_003461
47,-15.463891957678383,COG3,NM_031431
48,-15.470109199026759,DCPS,NM_001350236
49,-15.475726415325385,TMEM223,NM_001080501
50,-15.475726415325385,FBXL6,NM_012162
51,-15.47679536251429,HSPA4,NM_002154
52,-15.48677625151197,ZC3HAV1,NM_020119
53,-15.48677625151197,TMEM165,NM_018475
54,-15.51209405949626,ALKBH5,NM_017758
55,-15.521985244650581,SNX18,NM_001145427
56,-15.538480814669455,RAB2A,NM_002865
57,-15.550315272316457,PIK3R2,NM_005027
58,-15.57151747996706,SAMD1,NM_138352
59,-15.5737876285016,DVL1,NM_001330311
