,logLikelihood,Gene,AccNum
0,-15.447781534917308,AEBP2,NM_153207
1,-15.66753690515868,NMT2,NM_004808
2,-15.725219897788028,RASA2,NM_001303246
3,-15.744788374172876,NF2,NM_181832
4,-15.753663851853252,RNF138,NM_016271
5,-15.782989873387947,RNF126,NM_194460
6,-15.868101989880607,CHKB,NM_005198
7,-15.876139241256837,E2F4,NM_001950
8,-15.892405829925474,PGP,NM_001042371
9,-15.929276983211697,DGKD,NM_152879
10,-15.935963558550764,PEX10,NM_153818
11,-15.937602656482095,LTBP1,NM_206943
12,-15.948136150544604,GNPTG,NM_032520
13,-15.961285260689328,ZNF839,NM_018335
14,-15.984544999145157,COG3,NM_031431
15,-16.006632357226213,LRRC47,NM_020710
16,-16.013896367698955,FAM105A,NM_019018
17,-16.024409597709084,ECH1,NM_001398
18,-16.056541908432926,POLR2D,NM_004805
19,-16.05714290761928,N4BP1,NM_153029
20,-16.061028542361267,FEZ2,NM_001042548
21,-16.07060116393076,TRIM8,NM_030912
22,-16.074571571933355,RPS12,NM_001016
23,-16.093285535949274,RPS6KB2,NM_003952
24,-16.09873340608959,GTF3C6,NM_138408
25,-16.13258135483756,UBQLN4,NM_020131
26,-16.180362490909445,BRWD1,NM_033656
27,-16.1808364795002,METTL17,NM_001029991
28,-16.186535350016523,ZYX,NM_003461
29,-16.20412747358856,DENND4B,NM_014856
30,-16.229835257239344,EHMT1,NM_024757
31,-16.242165869696823,ZNF598,NM_178167
32,-16.257413761735545,DNAJA4,NM_018602
33,-16.261900395663886,RAB35,NM_006861
34,-16.264035423355175,PIGT,NM_015937
35,-16.264703589905547,SLC25A1,NM_005984
36,-16.309664452079424,FIG4,NM_014845
37,-16.348270656997325,PLCB3,NM_000932
38,-16.37181040743041,CDC34,NM_004359
39,-16.387369035503074,MZT2B,NM_001330282
40,-16.399791878582583,SLC35E1,NM_024881
41,-16.402671410647542,KDM3B,NM_016604
42,-16.408484414116444,DENND3,NM_001352890
43,-16.420793465294437,PPP1R14B,NM_138689
44,-16.42638281155396,CNTLN,NM_017738
45,-16.434666733526996,PDCD2L,NM_032346
46,-16.437694182782778,CHSY1,NM_014918
47,-16.445800897411065,AGFG1,NM_001135187
48,-16.451230746853806,ISYNA1,NM_016368
49,-16.45629729289767,GCN1,NM_006836
50,-16.474229246441386,ALKBH4,NM_017621
51,-16.475672595260637,GET4,NM_015949
52,-16.484584655043644,NOP14,NM_001291978
53,-16.486516785506474,RNF7,NM_014245
54,-16.48690058508383,DVL1,NM_001330311
55,-16.4995551932114,TXNDC5,NM_030810
56,-16.504502881876256,GPD1L,NM_015141
57,-16.520191038624525,GAN,NM_022041
58,-16.534546647187216,TRIM65,NM_173547
59,-16.54063433320464,RRP1B,NM_015056
60,-16.552477007291785,DCPS,NM_001350236
61,-16.55635035915519,ALG2,NM_033087
62,-16.559861167060976,ITFG1,NM_030790
63,-16.56025984383825,UBE2R2,NM_017811
64,-16.561487165537017,SPPL3,NM_139015
65,-16.56347705962303,GFER,NM_005262
66,-16.575356652913655,ISCU,NM_001320042
67,-16.57580325523448,ATP2A3,NM_174953
68,-16.57685556800946,EFHD2,NM_024329
69,-16.581731720517052,PEPD,NM_000285
70,-16.584259362008016,TPM1,NM_001330351
71,-16.5919701377352,IRAK1,NM_001569
72,-16.622756372067876,EDF1,NM_001281297
73,-16.623578427171648,SF1,NM_004630
74,-16.629327120277416,IGF2R,NM_000876
75,-16.638293489483264,CSNK2A2,NM_001896
76,-16.643020659274487,RPS19BP1,NM_194326
77,-16.64499848581018,MAPK1,NM_002745
78,-16.658838935696075,CLCN2,NM_004366
79,-16.669545488417064,POLE4,NM_019896
80,-16.67137502435969,UBQLN2,NM_013444
81,-16.67758358756018,PYGB,NM_002862
82,-16.682189675475293,CCDC6,NM_005436
83,-16.68316169012112,TGM2,NM_004613
84,-16.688819727056913,ZNF746,NM_001163474
85,-16.691739493662084,LMNB1,NM_005573
86,-16.70525568633614,BCL7C,NM_001286526
87,-16.709734112326586,C2orf49,NM_024093
88,-16.72343475198257,RAB2A,NM_002865
89,-16.724913468008165,RMC1,NM_013326
90,-16.73090174442095,BRK1,NM_018462
91,-16.732423143755952,TARSL2,NM_152334
92,-16.758643478384858,STRN,NM_003162
93,-16.75910521096499,PTPMT1,NM_175732
94,-16.764977419368012,TRIP13,NM_004237
95,-16.771406775427682,RNASEH2B,NM_001142279
96,-16.772271026382494,PKN3,NM_013355
97,-16.77662197135246,MAN2C1,NM_001256494
98,-16.780760660316176,ANKRD39,NM_016466
99,-16.787327635375163,MCCC1,NM_020166
100,-16.79494167280814,PINK1,NM_032409
101,-16.800752354370193,BAZ1B,NM_032408
102,-16.80917744663698,NUP88,NM_001320653
103,-16.810632633686506,RPS6KA4,NM_003942
104,-16.81164867707137,TMEM165,NM_018475
105,-16.811736064151148,TRIM27,NM_006510
106,-16.813621198245976,PPP1R7,NM_002712
107,-16.822735322626322,ETHE1,NM_014297
108,-16.825930335288582,DCBLD2,NM_080927
109,-16.82734627933819,DDX20,NM_007204
110,-16.828012019646522,NUP188,NM_015354
111,-16.83172355987891,TTC17,NM_018259
112,-16.832228012496085,PIK3R2,NM_005027
113,-16.842023026718614,PPP3CB,NM_001142353
114,-16.844024092784785,ALKBH5,NM_017758
115,-16.85238512323777,BTBD6,NM_033271
116,-16.853794085082587,EGLN1,NM_022051
117,-16.853876569876444,SARAF,NM_016127
118,-16.857619666846972,BICD2,NM_001003800
119,-16.860014959865744,GINS2,NM_016095
120,-16.86549951717494,PARP12,NM_022750
121,-16.86959962783683,FAAP100,NM_025161
122,-16.871841703610883,IGHMBP2,NM_002180
123,-16.8782093917665,NDUFB10,NM_004548
124,-16.88079877200345,WDFY1,NM_020830
125,-16.880842882881044,AFG3L2,NM_006796
126,-16.894196213095753,CENPU,NM_024629
127,-16.894875803749986,POLD3,NM_006591
128,-16.90170333917009,CFAP36,NM_001282761
129,-16.904765325877662,DBNL,NM_001122956
130,-16.909927111822558,WDR90,NM_145294
131,-16.91444445468266,NBAS,NM_015909
132,-16.915445470753017,FAM208A,NM_001112736
133,-16.916104182055335,NPLOC4,NM_017921
134,-16.917098536776432,COLGALT1,NM_024656
135,-16.919699152973195,RACK1,NM_006098
136,-16.932483890376826,FAM83F,NM_138435
137,-16.932729010060246,ICMT,NM_012405
138,-16.93409591592752,FBXW4,NM_022039
139,-16.94887016121522,RAVER2,NM_018211
140,-16.949476329232912,IRS2,NM_003749
141,-16.951052849185295,TPR,NM_003292
142,-16.95300688021322,MIB2,NM_080875
143,-16.95400696759705,ATXN10,NM_013236
144,-16.970492138613363,KCNN4,NM_002250
145,-16.98003494621301,ANKRD13C,NM_030816
146,-16.9831407504443,PGLS,NM_012088
147,-16.986301649701062,DMWD,NM_004943
148,-16.994427112708987,PTAR1,NM_001099666
149,-17.006490692579256,KPNA4,NM_002268
150,-17.00668944013437,SAMD1,NM_138352
151,-17.00784196842644,CTSZ,NM_001336
152,-17.018851718937903,NUP210,NM_024923
153,-17.019302530352427,FBXW11,NM_012300
154,-17.020644182609807,CD63,NM_001257389
155,-17.02502794339512,SNRNP200,NM_014014
156,-17.033489545702476,HIF1AN,NM_017902
157,-17.037318536146113,TRIM11,NM_145214
158,-17.042530244254678,WDR91,NM_014149
159,-17.043617034074828,FAF1,NM_007051
160,-17.044877101113425,TGFBR1,NM_001306210
161,-17.053863527020575,MYO1D,NM_015194
162,-17.055019917792215,POFUT1,NM_015352
163,-17.05773836535247,TSEN15,NM_001300764
164,-17.066104399737295,BBC3,NM_014417
165,-17.066233929225728,INPPL1,NM_001567
166,-17.06921597767564,MIER2,NM_017550
167,-17.076374712625128,IL17RA,NM_014339
168,-17.07726989193267,PPRC1,NM_015062
169,-17.081886311599117,THUMPD1,NM_017736
170,-17.086010735380658,MRPS10,NM_018141
171,-17.093119770059765,CLPTM1,NM_001294
172,-17.09713361123815,HBS1L,NM_006620
173,-17.09840409067778,EEFSEC,NM_021937
174,-17.0987941343113,CDT1,NM_030928
175,-17.10316422046923,RPL28,NM_001136134
176,-17.104298948115826,ULK3,NM_001099436
177,-17.104886447627756,MRPS35,NM_021821
178,-17.10875203020302,NSFL1C,NM_016143
179,-17.110585700004886,BUD13,NM_032725
180,-17.118045747293177,RBM42,NM_024321
181,-17.118589648425324,TRAPPC5,NM_174894
182,-17.140611212498005,NCF4,NM_013416
183,-17.147301468176643,FAM120A,NM_014612
184,-17.14763867661759,PDXK,NM_003681
185,-17.147645691904906,SCFD1,NM_016106
186,-17.147645691904906,PPP2R1A,NM_014225
187,-17.151535066762968,FLII,NM_002018
188,-17.15263127995901,QDPR,NM_000320
189,-17.15894810739267,ATE1,NM_001288736
190,-17.15987288235923,MPND,NM_001300862
191,-17.15990682068117,WDR59,NM_030581
192,-17.163303984062654,DECR2,NM_020664
193,-17.163833609328705,ORC6,NM_014321
194,-17.168092296678367,MRGBP,NM_018270
195,-17.17243450655456,ANAPC5,NM_016237
196,-17.176821441403742,FAM117A,NM_030802
197,-17.179095746143645,LAMP1,NM_005561
198,-17.179199335947242,TBC1D10B,NM_015527
199,-17.182009685404683,AKIRIN2,NM_018064
200,-17.185384376793113,P2RX4,NM_001256796
201,-17.18595698260942,MPC2,NM_001143674
202,-17.189014969604262,NFKBIB,NM_002503
203,-17.19156562370949,ARRDC4,NM_183376
204,-17.191676636921663,SNRPB,NM_003091
205,-17.2004595055678,SNX9,NM_016224
206,-17.200482951006293,MFSD12,NM_174983
207,-17.20523706818047,FKBP3,NM_002013
208,-17.207622956179904,RASGRP2,NM_153819
209,-17.20898360823699,RAD23A,NM_005053
210,-17.209169722102587,EXOSC4,NM_019037
211,-17.21202265439829,DERA,NM_015954
212,-17.21291877473171,RAN,NM_006325
213,-17.220733957245415,KLF9,NM_001206
214,-17.228298873076405,HERPUD1,NM_014685
215,-17.228982140838077,ZC3HAV1,NM_020119
216,-17.231358453762187,ARHGAP4,NM_001164741
217,-17.23455791317387,SEC23IP,NM_007190
218,-17.24362790768845,FOXK2,NM_004514
219,-17.245117637686587,RAB21,NM_014999
220,-17.245457831375692,IRF2BP2,NM_182972
221,-17.248062370831946,FIP1L1,NM_030917
222,-17.25259280122695,STOM,NM_004099
223,-17.253112081867307,HEBP2,NM_014320
224,-17.25371980139606,PTTG1IP,NM_004339
225,-17.254450567704676,KLF13,NM_015995
226,-17.256887689023042,SHKBP1,NM_138392
227,-17.261986950343935,STAB1,NM_015136
228,-17.267245258487687,CDC25B,NM_021873
229,-17.26917174296093,ABHD5,NM_016006
230,-17.270365658152027,SRM,NM_003132
231,-17.270547152964603,INSR,NM_000208
232,-17.271176857826052,KPNA3,NM_002267
233,-17.280531925894373,NFX1,NM_001318758
234,-17.283147650759464,PXMP2,NM_018663
235,-17.298246757192207,MRPL1,NM_020236
236,-17.30270703498744,HDAC3,NM_003883
237,-17.306262179364793,NT5C,NM_014595
238,-17.31162826010736,FBXO21,NM_033624
239,-17.31206885754519,PIP4P1,NM_001100814
240,-17.314477465997157,YTHDC1,NM_001330698
241,-17.31613757152785,MED14,NM_004229
242,-17.317905325535474,MEX3C,NM_016626
243,-17.32083211344219,RAB11FIP4,NM_032932
244,-17.321253992394805,NAPRT,NM_145201
245,-17.321849814178893,MICU2,NM_152726
246,-17.32752047589861,EPS15L1,NM_001258376
247,-17.329878665894327,ZER1,NM_006336
248,-17.34038184234386,AACS,NM_023928
249,-17.34744268318502,DHRS13,NM_144683
250,-17.35019438677551,RCCD1,NM_033544
251,-17.3530874148066,DUS3L,NM_020175
252,-17.353361224027022,PYGL,NM_002863
253,-17.354625036572077,PIM1,NM_001243186
254,-17.356004697177067,SPNS1,NM_032038
255,-17.356198148432746,ABCF1,NM_001025091
256,-17.361414635814217,COMTD1,NM_144589
257,-17.362188383191732,DEDD,NM_001330765
258,-17.36237954296957,KAT2B,NM_003884
259,-17.363627296192355,CRTAP,NM_006371
260,-17.36554837830492,FOXO1,NM_002015
261,-17.365930990668126,ICAM5,NM_003259
262,-17.37644730927571,CDAN1,NM_138477
263,-17.380801842511545,EEF1E1,NM_004280
264,-17.385307288812093,AGRN,NM_198576
265,-17.388967605619218,UBXN1,NM_015853
266,-17.38917289769254,PIGX,NM_001166304
267,-17.392078837949494,CAMK2G,NM_172171
268,-17.392416323491197,MTMR14,NM_001077525
269,-17.400537394581512,C19orf53,NM_014047
270,-17.402391536515047,CDKN2AIP,NM_017632
271,-17.405019277306234,FANCE,NM_021922
272,-17.40502241486136,FBXO28,NM_015176
273,-17.406287926660426,SLC43A2,NM_001284498
274,-17.40765405352316,SNX5,NM_014426
275,-17.411541927657755,PFDN6,NM_001185181
276,-17.413316490990173,MRPL23,NM_021134
277,-17.415422644087172,C6orf120,NM_001029863
278,-17.417713743687273,TESC,NM_017899
279,-17.418811250637194,CDIPT,NM_006319
280,-17.419699521737552,CHPT1,NM_020244
281,-17.43022082091222,SIVA1,NM_006427
282,-17.4390832787414,RNF40,NM_014771
283,-17.44360881003816,PDCD2,NM_002598
284,-17.44417488696639,SLC35F6,NM_017877
285,-17.447759834272713,GATA2,NM_001145661
286,-17.448864017529615,UCK2,NM_012474
287,-17.449677858260603,ARL6IP1,NM_015161
288,-17.45099278197887,OSGEP,NM_017807
289,-17.452033590461085,GTF3A,NM_002097
