Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05322:Systemic lupus erythematosus	14	6.79611650485	1.76213522226e-08	NM_021058, NM_080596, NM_138720, NM_021018, NM_003537, NM_003511, NM_005324, NM_003510, NM_003522, NM_003535, NM_021064, NM_175055, NM_003529, NM_003517	76	77	3107	7.43301435407	2.07931742391e-06	2.07931742391e-06	2.01665484867e-05
GOTERM_CC_DIRECT	GO:0000786~nucleosome	13	6.31067961165	1.1294519414e-07	NM_021058, NM_021018, NM_080596, NM_138720, NM_003537, NM_003511, NM_003510, NM_005324, NM_003535, NM_003522, NM_021064, NM_003529, NM_003517	183	70	7347	7.45597189696	2.51864625194e-05	2.51864625194e-05	0.000144085631848
GOTERM_MF_DIRECT	GO:0046982~protein heterodimerization activity	22	10.6796116505	3.83432157164e-07	NM_021058, NM_004322, NM_001195056, NM_021018, NM_004052, NM_001320415, NM_001099857, NM_138720, NM_080596, NM_032711, NM_003511, NM_003537, NM_003510, NM_005324, NM_003522, NM_003535, NM_005194, NM_021064, NM_175055, NM_003529, NM_003517, NM_019896	178	238	7107	3.69072797658	9.35530879146e-05	9.35530879146e-05	0.00049620985797
KEGG_PATHWAY	hsa05034:Alcoholism	14	6.79611650485	4.39877669156e-07	NM_021058, NM_080596, NM_138720, NM_021018, NM_003537, NM_003511, NM_005324, NM_003510, NM_003522, NM_003535, NM_021064, NM_175055, NM_003529, NM_003517	76	100	3107	5.72342105263	5.1904229308e-05	2.59524514189e-05	0.000503411693442
GOTERM_CC_DIRECT	GO:0000788~nuclear nucleosome	9	4.36893203883	5.89125063029e-07	NM_021058, NM_138720, NM_003537, NM_021018, NM_005324, NM_003522, NM_003535, NM_175055, NM_003529	183	31	7347	11.6557377049	0.000131366298454	6.56853065067e-05	0.000751552290679
GOTERM_BP_DIRECT	GO:0006334~nucleosome assembly	10	4.85436893204	7.32822903086e-05	NM_021058, NM_138720, NM_003537, NM_021018, NM_003011, NM_005324, NM_003522, NM_003535, NM_175055, NM_003529	169	76	7039	5.48037994394	0.0568042262428	0.0568042262428	0.112392498533
KEGG_PATHWAY	hsa05202:Transcriptional misregulation in cancer	9	4.36893203883	0.000726665881904	NM_001195056, NM_003537, NM_021018, NM_005324, NM_003535, NM_005194, NM_001320415, NM_005574, NM_003529	76	83	3107	4.4329422955	0.0822018050347	0.0281876816085	0.828475633382
GOTERM_MF_DIRECT	GO:0031492~nucleosomal DNA binding	6	2.91262135922	0.00160315771075	NM_004965, NM_003537, NM_021018, NM_005324, NM_003535, NM_003529	178	35	7107	6.84462279294	0.323947383514	0.177775811298	2.05495112327
GOTERM_BP_DIRECT	GO:0032200~telomere organization	5	2.42718446602	0.00163631973969	NM_003537, NM_021018, NM_005324, NM_003535, NM_003529	169	22	7039	9.46611081226	0.729329389968	0.479739863114	2.4816745634
GOTERM_BP_DIRECT	GO:0045814~negative regulation of gene expression, epigenetic	6	2.91262135922	0.00171353098999	NM_003537, NM_021018, NM_005324, NM_003535, NM_001039618, NM_003529	169	37	7039	6.75419798497	0.745529562594	0.366306704782	2.59734002827
