AccNum,Energy
NM_017582,-0.3068706387546967
NM_001276267,-0.3433333333333333
NM_173469,-0.2356828193832599
NM_001330474,-0.28933189655172414
NM_014372,-0.23195294117647058
NM_007282,-0.21895551257253384
NM_014012,-0.37663157894736843
NM_173527,-0.4064850843060959
NM_004710,-0.41542338709677423
NM_001143909,-0.2390847711927982
NM_052942,-0.30941243582430117
NM_033446,-0.4373742721016411
NM_031277,-0.18814432989690721
NM_001114132,-0.19859374999999999
NM_001085365,-0.2396039603960396
NM_001330282,-0.24368932038834953
NM_000489,-0.22087532392744025
NM_000303,-0.38961640211640214
NM_001346946,-0.25546874999999997
NM_000050,-0.3347826086956522
NM_001320900,-0.26678455941794665
NM_030572,-0.2131849315068493
NM_152601,-0.2534495021337127
NM_001297560,-0.35141911069063386
NM_001353374,-0.2291834002677376
NM_001080528,-0.3505698005698006
NM_024993,-0.21828675577156745
NM_025069,-0.32605790645879734
NM_000997,-0.2654761904761905
NM_001172655,-0.33072370191014255
NM_001271848,-0.23500000000000001
NM_001288805,-0.44491228070175437
NM_001145652,-0.2926056338028169
NM_001033723,-0.2778319783197832
NM_001303124,-0.38060413354531003
NM_001330566,-0.2138617580766341
NM_014455,-0.2262420382165605
NM_018471,-0.20303030303030303
NM_001326297,-0.23060295790671215
NM_001030288,-0.48656791785894626
NM_001330331,-0.22671695117109966
NM_001294340,-0.27578947368421053
NM_007327,-0.47408906882591095
NM_001322216,-0.3129511677282378
NM_001145250,-0.5149828178694158
NM_001135243,-0.3345489443378119
NM_032141,-0.24619225967540573
NM_016320,-0.3042645778938207
NM_004628,-0.3184110970996217
NM_138473,-0.2787773933102653
NM_003110,-0.27140335392762577
NM_003111,-0.21720275703618608
NM_001242795,-0.18941176470588236
NM_001003845,-0.3398972602739726
NM_001258248,-0.41400419287211737
NM_024046,-0.4160059835452506
NM_139015,-0.316311771795902
NM_014498,-0.21083959899749374
NM_025136,-0.3991566431632794
NM_214711,-0.21400709219858155
NM_130837,-0.2225163500467144
NM_001172663,-0.4500908540278619
NM_006822,-0.2271356783919598
NM_080879,-0.21882352941176472
NM_181617,-0.1751592356687898
NM_001085480,-0.18225000000000002
NM_001436,-0.18000000000000002
