AccNum,Energy
NM_017582,-0.5406593406593407
NM_001276267,-0.38405063291139235
NM_173469,-0.5813648293963255
NM_001330474,-0.4392116182572614
NM_014372,-0.5394628099173554
NM_007282,-0.4057397959183674
NM_014012,-0.34395973154362414
NM_173527,-0.28923076923076924
NM_004710,-0.4305555555555556
NM_001143909,-0.2318181818181818
NM_052942,-0.24804469273743016
NM_033446,-0.5127906976744186
NM_031277,-0.19756097560975608
NM_001114132,-0.27837837837837837
NM_001085365,-0.5252173913043479
NM_001330282,-0.4872576177285319
NM_000489,-0.3440298507462687
NM_000303,-0.35285714285714287
NM_001346946,-0.45178197064989517
NM_000050,-0.5817415730337079
NM_001320900,-0.3314775160599572
NM_030572,-0.2388888888888889
NM_152601,-0.43788819875776397
NM_001297560,-0.3468354430379747
NM_001353374,-0.3997502081598668
NM_001080528,-0.17126436781609194
NM_024993,-0.2593220338983051
NM_025069,-0.5663755458515284
NM_000997,-0.34
NM_001172655,-0.3724444444444444
NM_001271848,-0.43986013986013983
NM_001288805,-0.34680628272251307
NM_001145652,-0.393384223918575
NM_001033723,-0.3168103448275862
NM_001303124,-0.3335211267605634
NM_001330566,-0.40452488687782806
NM_014455,-0.5492
NM_018471,-0.4315555555555555
NM_001326297,-0.35295275590551184
NM_001030288,-0.19575757575757574
NM_001330331,-0.4068
NM_001294340,-0.38299999999999995
NM_007327,-0.5436363636363637
NM_001322216,-0.31351851851851853
NM_001135243,-0.3888888888888889
NM_032141,-0.27567567567567564
NM_016320,-0.4448931116389549
NM_004628,-0.3961538461538462
NM_138473,-0.23402061855670103
NM_003110,-0.3970802919708029
NM_003111,-0.44934086629001885
NM_001242795,-0.3147474747474748
NM_001003845,-0.5499999999999999
NM_001258248,-0.3771626297577855
NM_024046,-0.4561586638830898
NM_139015,-0.5022680412371134
NM_014498,-0.4959375
NM_025136,-0.376
NM_214711,-0.1470899470899471
NM_130837,-0.4756410256410256
NM_001172663,-0.5162162162162162
NM_006822,-0.6174603174603175
NM_080879,-0.2891812865497076
NM_001085480,-0.4510204081632653
