Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	66	28.9473684211	1.32891348186e-10	NM_001113199, NM_001039129, NM_152808, NM_001001491, NM_201369, NM_001277113, NM_029364, NM_008047, NM_153592, NM_181070, NM_033444, NM_028017, NM_009752, NM_001113355, NM_026879, NM_007874, NM_025887, NM_001042484, NM_177411, NM_001190449, NM_027342, NM_008917, NM_011200, NM_018854, NM_025380, NM_001163662, NM_007392, NM_027400, NM_019639, NM_008139, NM_009804, NM_009263, NM_025790, NM_133891, NM_028057, NM_010299, NM_026615, NM_009825, NM_026611, NM_011291, NM_009227, NM_019718, NM_138587, NM_133937, NM_011287, NM_007798, NM_013834, NM_008409, NM_029814, NM_024173, NM_021610, NM_145541, NM_008972, NM_022891, NM_025706, NM_019564, NM_028132, NM_001163485, NM_016980, NM_007940, NM_016881, NM_013471, NM_026885, NM_027769, NM_172507, NM_009955	215	2674	19662	2.25720895445	3.65451245932e-08	3.65451245932e-08	1.75225167709e-07
KEGG_PATHWAY	mmu03010:Ribosome	16	7.01754385965	5.59255170078e-10	NM_025796, NM_022891, NM_027098, NM_018730, NM_001163485, NM_207523, NM_011291, NM_016980, NM_001277113, NM_018860, NM_172086, NM_011287, NM_026591, NM_019865, NM_026594, NM_027015	103	145	7691	8.23943756277	8.33290210167e-08	8.33290210167e-08	6.6707065427e-07
GOTERM_CC_DIRECT	GO:0005840~ribosome	16	7.01754385965	2.32053419369e-09	NM_026603, NM_025796, NM_022891, NM_027098, NM_018730, NM_001163485, NM_207523, NM_011291, NM_016980, NM_001277113, NM_018860, NM_172086, NM_011287, NM_026591, NM_019865, NM_027015	215	188	19662	7.78307768431	6.38146704701e-07	3.19073403254e-07	3.05976228798e-06
GOTERM_BP_DIRECT	GO:0006412~translation	21	9.21052631579	3.02178614623e-08	NM_026603, NM_026892, NM_025796, NM_022891, NM_025437, NM_027098, NM_012011, NM_025380, NM_018730, NM_001163485, NM_207523, NM_011291, NM_016980, NM_001277113, NM_018860, NM_172086, NM_011287, NM_026591, NM_019865, NM_026594, NM_027015	205	401	18082	4.61920807737	2.75885273369e-05	2.75885273369e-05	4.71893119136e-05
GOTERM_CC_DIRECT	GO:0022625~cytosolic large ribosomal subunit	11	4.82456140351	5.63750769404e-08	NM_001277113, NM_172086, NM_022891, NM_011287, NM_019865, NM_018730, NM_026594, NM_001163485, NM_207523, NM_011291, NM_016980	215	91	19662	11.0545361615	1.55030264224e-05	5.16770217918e-06	7.43338653519e-05
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	16	7.01754385965	4.05213759513e-07	NM_025796, NM_022891, NM_027098, NM_018730, NM_001163485, NM_207523, NM_011291, NM_016980, NM_001277113, NM_018860, NM_172086, NM_011287, NM_026591, NM_019865, NM_026594, NM_027015	201	264	17446	5.26036484245	0.000133306467805	0.000133306467805	0.000549100822245
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	105	46.0526315789	4.42481127549e-06	NM_001252585, NM_001039129, NM_172555, NM_011130, NM_133851, NM_001277113, NM_001177659, NM_033444, NM_009274, NM_026879, NM_001113355, NM_025887, NM_001039137, NM_009459, NM_027342, NM_018854, NM_001163662, NM_019710, NM_016957, NM_019639, NM_025274, NM_009263, NM_013587, NM_026615, NM_009825, NM_029762, NM_146130, NM_010946, NM_013415, NM_019718, NM_016963, NM_009159, NM_145442, NM_025283, NM_181589, NM_026899, NM_145541, NM_008972, NM_025706, NM_175090, NM_028132, NM_026934, NM_016980, NM_026992, NM_001177648, NM_026480, NM_007940, NM_026885, NM_178939, NM_001113199, NM_001001491, NM_053177, NM_023065, NM_027188, NM_033607, NM_001033043, NM_007569, NM_153592, NM_009752, NM_175245, NM_024459, NM_010620, NM_008446, NM_019936, NM_001190449, NM_019738, NM_011200, NM_025380, NM_007392, NM_027400, NM_025377, NM_007761, NM_025790, NM_023258, NM_001081117, NM_011291, NM_009227, NM_027427, NM_013512, NM_133937, NM_001025102, NM_011287, NM_007798, NM_134115, NM_029814, NM_175482, NM_001168491, NM_019405, NM_020590, NM_010898, NM_022891, NM_019561, NM_019564, NM_001163485, NM_007587, NM_023047, NM_027973, NM_016881, NM_010718, NM_028749, NM_013471, NM_009672, NM_027769, NM_172507, NM_009955	215	6631	19662	1.44810316589	0.00121608576056	0.000304160182129	0.00583421946743
GOTERM_CC_DIRECT	GO:0030529~intracellular ribonucleoprotein complex	15	6.57894736842	1.16598067571e-05	NM_001039129, NM_025796, NM_022891, NM_146130, NM_027098, NM_018730, NM_001163485, NM_207523, NM_011291, NM_009227, NM_016980, NM_001277113, NM_172086, NM_011287, NM_026591	215	320	19662	4.28677325581	0.00320133033106	0.000641087525847	0.0153730563316
GOTERM_MF_DIRECT	GO:0044822~poly(A) RNA binding	29	12.7192982456	7.3015049741e-05	NM_138607, NM_009825, NM_001039129, NM_133851, NM_023323, NM_018730, NM_148930, NM_011291, NM_008717, NM_001277113, NM_009159, NM_133354, NM_027427, NM_025564, NM_011287, NM_025845, NM_009274, NM_026892, NM_025602, NM_022891, NM_025437, NM_001163485, NM_016980, NM_026934, NM_019710, NM_019639, NM_172086, NM_001081117, NM_027769	201	1113	17446	2.26153151583	0.0237365770181	0.0119395651166	0.0988968400038
GOTERM_MF_DIRECT	GO:0008017~microtubule binding	11	4.82456140351	0.000107076643727	NM_019718, NM_023047, NM_019405, NM_025377, NM_010620, NM_008446, NM_019936, NM_011130, NM_133851, NM_013933, NM_009955	201	200	17446	4.77378109453	0.0346167458999	0.0116746831129	0.145001321424
