AccNum,Energy
NM_017582,-0.5382417582417582
NM_001276267,-0.3970886075949367
NM_173469,-0.5906036745406824
NM_001330474,-0.44894190871369294
NM_014372,-0.5522727272727272
NM_007282,-0.41705357142857147
NM_014012,-0.3599328859060403
NM_173527,-0.26492307692307693
NM_004710,-0.44402777777777774
NM_001143909,-0.2561818181818182
NM_052942,-0.2636312849162011
NM_033446,-0.5308139534883721
NM_031277,-0.1821951219512195
NM_001114132,-0.2963363363363364
NM_001085365,-0.5186086956521739
NM_001330282,-0.48554016620498613
NM_000489,-0.3572014925373134
NM_000303,-0.37257142857142855
NM_001346946,-0.46423480083857444
NM_000050,-0.5903370786516854
NM_001320900,-0.3558244111349036
NM_030572,-0.25060185185185185
NM_152601,-0.4433540372670807
NM_001297560,-0.36331223628691983
NM_001353374,-0.41512905911740217
NM_001080528,-0.1839080459770115
NM_024993,-0.2803177966101695
NM_025069,-0.5765502183406114
NM_000997,-0.358
NM_001172655,-0.38737777777777777
NM_001271848,-0.4513286713286714
NM_001288805,-0.36329842931937173
NM_001145652,-0.39984732824427477
NM_001033723,-0.335
NM_001303124,-0.3405352112676056
NM_001330566,-0.42081447963800905
NM_014455,-0.56
NM_018471,-0.44164444444444445
NM_001326297,-0.3614763779527559
NM_001030288,-0.2116969696969697
NM_001330331,-0.41946
NM_001294340,-0.396
NM_007327,-0.5563333333333333
NM_001322216,-0.3260925925925926
NM_001135243,-0.3548148148148148
NM_032141,-0.2762162162162162
NM_016320,-0.4554394299287411
NM_004628,-0.40067307692307697
NM_138473,-0.2443298969072165
NM_003110,-0.41036496350364965
NM_003111,-0.4592467043314501
NM_001242795,-0.32422222222222224
NM_001003845,-0.5678915662650602
NM_001258248,-0.39294117647058824
NM_024046,-0.4679958246346555
NM_139015,-0.51340206185567
NM_014498,-0.5056875
NM_025136,-0.37929999999999997
NM_214711,-0.17259259259259258
NM_130837,-0.49247863247863244
NM_001172663,-0.5291891891891892
NM_006822,-0.6276984126984128
NM_080879,-0.3012865497076024
NM_181617,-0.008387096774193548
NM_001085480,-0.45986394557823124
NM_001436,-0.41333333333333333
NM_016426,-0.36811320754716986
NM_001101376,-0.4124137931034483
NM_001353179,-0.35943697060288987
NM_001042465,-0.451038961038961
NM_001005170,-0.0659090909090909
NM_032802,-0.48983333333333334
NM_175882,-0.017058823529411765
NM_017433,-0.41330555555555554
NM_002207,-0.45452830188679244
NM_003358,-0.5918222222222222
NM_138995,-0.2537762237762238
NM_004320,-0.328804347826087
NM_170665,-0.6516341030195382
NM_174953,-0.5896531791907514
NM_181501,-0.34769230769230763
NM_002203,-0.35748251748251747
NM_001258310,-0.3555384615384615
NM_000885,-0.4231061598951507
NM_002205,-0.31058823529411766
NM_006912,-0.4474384236453202
