Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	87	13.1024096386	6.39503960183e-14	NM_001291902, NM_202002, NM_017617, NM_005647, NM_022769, NM_003185, NM_005093, NM_001318202, NM_000945, NM_016457, NM_002586, NM_194071, NM_001330499, NM_001964, NM_001171623, NM_005955, NM_205843, NM_012102, NM_012154, NM_130803, NM_001318240, NM_006196, NM_198055, NM_001282662, NM_031449, NM_000333, NM_003482, NM_138714, NM_012199, NM_053002, NM_003884, NM_003298, NM_018263, NM_001005291, NM_001009944, NM_018416, NM_005920, NM_001001890, NM_014389, NM_024496, NM_001171167, NM_001421, NM_002657, NM_001330331, NM_005334, NM_000660, NM_001080547, NM_001317946, NM_001429, NM_021224, NM_181715, NM_002616, NM_022465, NM_001197104, NM_001330474, NM_005036, NM_032482, NM_024680, NM_001308142, NM_006037, NM_004380, NM_004229, NM_001987, NM_014757, NM_020338, NM_001278669, NM_003036, NM_022893, NM_001145661, NM_001099402, NM_021975, NM_030665, NM_058243, NM_015338, NM_198576, NM_001287491, NM_001015053, NM_001204, NM_015062, NM_001145358, NM_001080424, NM_012340, NM_000297, NM_001128844, NM_000118, NM_033238, NM_001291920	604	441	7039	2.29908320944	1.75411685177e-10	1.75411685177e-10	1.13997700169e-10
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	67	10.0903614458	7.94121391852e-10	NM_015001, NM_202002, NM_017617, NM_005647, NM_003407, NM_006015, NM_001276252, NM_001003699, NM_001304815, NM_001171623, NM_001964, NM_006885, NM_015898, NM_001195470, NM_205843, NM_012102, NM_130803, NM_001137675, NM_198055, NM_001282748, NM_014943, NM_198969, NM_001007026, NM_001005291, NM_020310, NM_006378, NM_024496, NM_006856, NM_000660, NM_001080547, NM_005334, NM_001429, NM_001330288, NM_002616, NM_020899, NM_005036, NM_005030, NM_001202543, NM_024680, NM_006037, NM_004380, NM_015035, NM_020699, NM_017721, NM_001987, NM_015156, NM_003036, NM_022893, NM_001123385, NM_001145661, NM_001033561, NM_153813, NM_021975, NM_001145928, NM_006312, NM_015338, NM_031923, NM_001015053, NM_005786, NM_001300946, NM_012340, NM_001972, NM_001145358, NM_001128844, NM_000118, NM_001973, NM_001291920	604	357	7039	2.18716029458	2.17827272542e-06	1.08913695585e-06	1.41568947676e-06
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	124	18.6746987952	4.74529733443e-07	NM_194278, NM_182931, NM_015001, NM_005093, NM_006015, NM_014727, NM_002586, NM_005338, NM_006099, NM_001304815, NM_015898, NM_001195470, NM_001244580, NM_001271840, NM_205843, NM_012154, NM_198055, NM_001014443, NM_001282662, NM_014943, NM_007040, NM_053002, NM_002918, NM_018263, NM_014630, NM_001007026, NM_019589, NM_002714, NM_033113, NM_005920, NM_001345970, NM_005078, NM_022465, NM_001330288, NM_014938, NM_001330474, NM_001301132, NM_006813, NM_001308142, NM_001145365, NM_012231, NM_020338, NM_014755, NM_000635, NM_058243, NM_006312, NM_001322260, NM_017759, NM_001015053, NM_005786, NM_015062, NM_001300946, NM_001145358, NM_014699, NM_001300942, NM_001128844, NM_001316978, NM_033238, NM_001973, NM_001291920, NM_202002, NM_005647, NM_022769, NM_001105537, NM_001300, NM_001136156, NM_014516, NM_014712, NM_003110, NM_005653, NM_012102, NM_130803, NM_052876, NM_001137675, NM_031449, NM_000333, NM_001433, NM_003482, NM_001282748, NM_003685, NM_012199, NM_198969, NM_003298, NM_004831, NM_004630, NM_005187, NM_014389, NM_001896, NM_020196, NM_006662, NM_006856, NM_001317946, NM_181715, NM_021224, NM_002616, NM_020899, NM_001079843, NM_001202543, NM_006037, NM_024680, NM_018028, NM_015035, NM_020699, NM_001949, NM_020807, NM_017721, NM_199141, NM_015156, NM_003036, NM_015015, NM_022893, NM_001123385, NM_001145661, NM_001033561, NM_153813, NM_007371, NM_001145928, NM_015338, NM_170606, NM_016531, NM_001282531, NM_031370, NM_015335, NM_001037165	604	947	7039	1.52596907627	0.00130078860765	0.0004337843442	0.000845946275774
GOTERM_MF_DIRECT	GO:0003700~transcription factor activity, sequence-specific DNA binding	62	9.33734939759	1.95576480681e-06	NM_194278, NM_202002, NM_017617, NM_003185, NM_005093, NM_014727, NM_001003699, NM_002586, NM_194071, NM_001964, NM_006885, NM_005955, NM_004926, NM_001271840, NM_205843, NM_005653, NM_012102, NM_001282662, NM_198055, NM_014943, NM_138714, NM_014779, NM_003298, NM_001005291, NM_005188, NM_033113, NM_020310, NM_005187, NM_005920, NM_001001890, NM_001345970, NM_005641, NM_006856, NM_002657, NM_001313959, NM_001080547, NM_005334, NM_014938, NM_022465, NM_001197104, NM_005036, NM_024680, NM_004380, NM_022841, NM_020699, NM_015035, NM_001949, NM_012231, NM_001987, NM_001278669, NM_001145661, NM_021975, NM_030665, NM_000635, NM_006887, NM_001322260, NM_016531, NM_001300946, NM_012340, NM_001145358, NM_001973, NM_001291920	617	386	7107	1.85014401962	0.00153800446511	0.00153800446511	0.00299560183918
GOTERM_MF_DIRECT	GO:0003682~chromatin binding	43	6.47590361446	1.13205288168e-05	NM_001171167, NM_015409, NM_020825, NM_005334, NM_152259, NM_002586, NM_001429, NM_181715, NM_001080495, NM_001330288, NM_001197104, NM_001304815, NM_001301132, NM_001195470, NM_052897, NM_004380, NM_006037, NM_012102, NM_130803, NM_001318240, NM_000333, NM_003036, NM_001282748, NM_001145661, NM_153812, NM_001033561, NM_021975, NM_007371, NM_003884, NM_058243, NM_001005291, NM_006312, NM_020310, NM_006231, NM_001015053, NM_031370, NM_001282531, NM_005786, NM_012340, NM_001080424, NM_001145358, NM_014389, NM_001973	617	245	7107	2.02163860682	0.00886973633759	0.00444474605253	0.0173382420842
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	131	19.7289156627	1.68986847205e-05	NM_001291902, NM_182931, NM_001270520, NM_002209, NM_033450, NM_001199692, NM_033397, NM_016457, NM_006289, NM_005151, NM_001206999, NM_022338, NM_001289824, NM_078481, NM_000368, NM_001291860, NM_001010935, NM_021259, NM_152787, NM_001014443, NM_003749, NM_000610, NM_014943, NM_001039469, NM_005347, NM_001206482, NM_002855, NM_007353, NM_032242, NM_014203, NM_004218, NM_001142864, NM_003332, NM_182706, NM_006219, NM_175736, NM_001320032, NM_001025159, NM_054027, NM_001324321, NM_000629, NM_139015, NM_001320421, NM_002332, NM_006598, NM_003461, NM_138383, NM_015241, NM_004996, NM_001978, NM_001204, NM_001304349, NM_014143, NM_173470, NM_002835, NM_001006634, NM_018984, NM_001001396, NM_152879, NM_017617, NM_004104, NM_080538, NM_001330125, NM_000222, NM_003873, NM_001320698, NM_005505, NM_007013, NM_001165928, NM_001320613, NM_198565, NM_024940, NM_013444, NM_003486, NM_005633, NM_173854, NM_001172567, NM_000651, NM_001110556, NM_001009944, NM_005188, NM_004530, NM_000757, NM_152609, NM_020210, NM_001105540, NM_018226, NM_006231, NM_001289125, NM_080425, NM_006378, NM_001113347, NM_058004, NM_015205, NM_002375, NM_003165, NM_000660, NM_001265589, NM_024776, NM_000527, NM_001040118, NM_020428, NM_001160233, NM_004281, NM_022367, NM_004383, NM_032548, NM_001242837, NM_006035, NM_001142290, NM_001030006, NM_001130004, NM_020376, NM_003363, NM_178582, NM_013324, NM_000211, NM_005892, NM_001256182, NM_001204424, NM_201380, NM_002577, NM_198576, NM_000875, NM_001144875, NM_001497, NM_012340, NM_000297, NM_005415, NM_003045, NM_003930	631	1082	7347	1.40969355921	0.00812891391458	0.00812891391458	0.0242137026323
GOTERM_MF_DIRECT	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding	29	4.36746987952	2.26976057387e-05	NM_001421, NM_006856, NM_001080547, NM_001317946, NM_194071, NM_001330288, NM_002616, NM_005036, NM_015898, NM_005955, NM_024680, NM_205843, NM_022841, NM_020699, NM_017721, NM_001987, NM_198055, NM_003036, NM_022893, NM_138714, NM_012199, NM_021975, NM_000635, NM_002918, NM_001005291, NM_018416, NM_005920, NM_012340, NM_001128844	617	141	7107	2.36908169247	0.0177046169386	0.00593671380469	0.0347602608439
GOTERM_MF_DIRECT	GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding	15	2.25903614458	3.48681665081e-05	NM_198055, NM_003036, NM_015156, NM_006856, NM_022893, NM_001080547, NM_153813, NM_021975, NM_005036, NM_015898, NM_005786, NM_024680, NM_004380, NM_012340, NM_017721	617	48	7107	3.59957455429	0.0270686219758	0.00683695233002	0.0533942210227
GOTERM_BP_DIRECT	GO:0035556~intracellular signal transduction	31	4.6686746988	3.79125710266e-05	NM_003332, NM_001164664, NM_001321236, NM_152879, NM_003407, NM_012290, NM_016457, NM_001324321, NM_000222, NM_001206999, NM_001256196, NM_006761, NM_001320613, NM_013355, NM_199054, NM_004327, NM_006035, NM_014238, NM_001278669, NM_145686, NM_015016, NM_001039469, NM_013324, NM_001130065, NM_001204424, NM_001184985, NM_001105540, NM_001289103, NM_005475, NM_005565, NM_022648	604	162	7039	2.23008135067	0.0987712362065	0.0256639734992	0.0675656249694
GOTERM_BP_DIRECT	GO:0007165~signal transduction	57	8.5843373494	4.82161613214e-05	NM_152879, NM_002209, NM_013437, NM_001199417, NM_000222, NM_001320698, NM_003873, NM_007013, NM_001320613, NM_006246, NM_001010935, NM_001493, NM_004308, NM_001251905, NM_003749, NM_005633, NM_138714, NM_001172567, NM_001130065, NM_021818, NM_002855, NM_001001890, NM_024832, NM_003332, NM_058004, NM_006219, NM_001025159, NM_005078, NM_001316332, NM_182643, NM_001040118, NM_020428, NM_013355, NM_015254, NM_004327, NM_004380, NM_006035, NM_001282604, NM_017721, NM_001286, NM_022893, NM_002087, NM_003461, NM_019043, NM_003565, NM_002577, NM_001014831, NM_198576, NM_000876, NM_198679, NM_000875, NM_014143, NM_018052, NM_005475, NM_005415, NM_001006634, NM_003930	604	386	7039	1.72092354939	0.123886928279	0.0261052335284	0.0859206487198
