Category	Term	Count	%	Pvalue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	66	15.3846153846	6.17200423641e-14	NM_202002, NM_017617, NM_005647, NM_003185, NM_005093, NM_000945, NM_016457, NM_002586, NM_194071, NM_001964, NM_005955, NM_205843, NM_012102, NM_001318240, NM_006196, NM_001282662, NM_198055, NM_031449, NM_003482, NM_138714, NM_003298, NM_018263, NM_001005291, NM_001009944, NM_018416, NM_005920, NM_001001890, NM_014389, NM_001171167, NM_002657, NM_001421, NM_001330331, NM_001080547, NM_000660, NM_005334, NM_001317946, NM_001429, NM_181715, NM_002616, NM_022465, NM_001197104, NM_032482, NM_024680, NM_001308142, NM_006037, NM_004380, NM_004229, NM_001987, NM_014757, NM_001278669, NM_020338, NM_003036, NM_022893, NM_001145661, NM_001099402, NM_021975, NM_030665, NM_058243, NM_001287491, NM_001204, NM_015062, NM_012340, NM_001080424, NM_001128844, NM_000118, NM_001291920	388	441	7039	2.71509222246	1.29814825556e-10	1.29814825556e-10	1.06747943818e-10
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	50	11.655011655	1.4029212191e-09	NM_015001, NM_202002, NM_005647, NM_017617, NM_003407, NM_001276252, NM_006015, NM_001003699, NM_001304815, NM_001964, NM_006885, NM_015898, NM_001195470, NM_205843, NM_012102, NM_198055, NM_014943, NM_001005291, NM_001007026, NM_006378, NM_006856, NM_000660, NM_005334, NM_001080547, NM_001429, NM_002616, NM_020899, NM_005030, NM_001202543, NM_024680, NM_006037, NM_004380, NM_020699, NM_017721, NM_001987, NM_003036, NM_022893, NM_001123385, NM_001145661, NM_153813, NM_001033561, NM_021975, NM_006312, NM_031923, NM_012340, NM_001972, NM_000118, NM_001128844, NM_001973, NM_001291920	388	357	7039	2.54086170551	2.95033898312e-06	1.47517057958e-06	2.42621429614e-06
GOTERM_MF_DIRECT	GO:0003700~transcription factor activity, sequence-specific DNA binding	52	12.1212121212	3.93239925719e-09	NM_194278, NM_202002, NM_017617, NM_003185, NM_005093, NM_014727, NM_001003699, NM_002586, NM_194071, NM_001964, NM_006885, NM_005955, NM_004926, NM_205843, NM_005653, NM_012102, NM_001282662, NM_198055, NM_014943, NM_138714, NM_014779, NM_003298, NM_001005291, NM_005188, NM_033113, NM_005187, NM_005920, NM_001001890, NM_005641, NM_002657, NM_006856, NM_001080547, NM_005334, NM_001313959, NM_014938, NM_022465, NM_001197104, NM_024680, NM_004380, NM_022841, NM_020699, NM_012231, NM_001987, NM_001278669, NM_001145661, NM_021975, NM_000635, NM_030665, NM_006887, NM_012340, NM_001973, NM_001291920	397	386	7107	2.41163649652	2.30045094607e-06	2.30045094607e-06	5.78773052817e-06
GOTERM_MF_DIRECT	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding	26	6.06060606061	1.90238847845e-07	NM_198055, NM_006856, NM_001421, NM_003036, NM_022893, NM_001080547, NM_138714, NM_001317946, NM_021975, NM_000635, NM_194071, NM_002918, NM_002616, NM_001005291, NM_015898, NM_005955, NM_018416, NM_024680, NM_005920, NM_205843, NM_022841, NM_012340, NM_020699, NM_017721, NM_001128844, NM_001987	397	141	7107	3.3010343534	0.000111283544132	5.56433201558e-05	0.00027999440011
GOTERM_MF_DIRECT	GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding	17	3.9627039627	3.7848829208e-06	NM_198055, NM_001171167, NM_001421, NM_002657, NM_001080547, NM_001145661, NM_138714, NM_021975, NM_194071, NM_001005291, NM_001964, NM_005955, NM_018416, NM_005920, NM_205843, NM_012340, NM_001987	397	77	7107	3.95233733521	0.00221171125316	0.000737781271729	0.00557047052236
GOTERM_MF_DIRECT	GO:0003682~chromatin binding	32	7.45920745921	1.31855729787e-05	NM_001171167, NM_015409, NM_020825, NM_005334, NM_002586, NM_001429, NM_181715, NM_001080495, NM_001197104, NM_001304815, NM_001195470, NM_001301132, NM_052897, NM_004380, NM_006037, NM_012102, NM_001318240, NM_003036, NM_001145661, NM_153812, NM_001033561, NM_021975, NM_007371, NM_058243, NM_001005291, NM_006312, NM_001282531, NM_031370, NM_001080424, NM_012340, NM_014389, NM_001973	397	245	7107	2.33818948234	0.00768393749491	0.00192654458773	0.0194048564605
GOTERM_BP_DIRECT	GO:0006351~transcription, DNA-templated	82	19.1142191142	1.91013754449e-05	NM_194278, NM_015001, NM_202002, NM_005647, NM_005093, NM_006015, NM_001105537, NM_014727, NM_002586, NM_001304815, NM_014516, NM_014712, NM_015898, NM_001244580, NM_001195470, NM_003110, NM_205843, NM_005653, NM_012102, NM_198055, NM_001282662, NM_001014443, NM_031449, NM_001433, NM_003482, NM_003685, NM_014943, NM_003298, NM_002918, NM_018263, NM_014630, NM_001007026, NM_019589, NM_004831, NM_033113, NM_004630, NM_005187, NM_005920, NM_014389, NM_001896, NM_006662, NM_006856, NM_001317946, NM_005078, NM_181715, NM_014938, NM_002616, NM_022465, NM_020899, NM_001079843, NM_001301132, NM_001202543, NM_024680, NM_001308142, NM_006037, NM_018028, NM_020699, NM_020807, NM_017721, NM_012231, NM_020338, NM_014755, NM_003036, NM_022893, NM_001123385, NM_001145661, NM_001033561, NM_153813, NM_007371, NM_000635, NM_058243, NM_006312, NM_017759, NM_170606, NM_001282531, NM_031370, NM_015062, NM_001300942, NM_001128844, NM_001973, NM_001291920, NM_001037165	388	947	7039	1.570880371	0.0393744347001	0.0133009422525	0.0330288106742
GOTERM_BP_DIRECT	GO:0006366~transcription from RNA polymerase II promoter	31	7.22610722611	1.92929272798e-05	NM_021228, NM_202002, NM_001171167, NM_001421, NM_002657, NM_003185, NM_001080547, NM_005334, NM_001003699, NM_001429, NM_194071, NM_001197104, NM_001964, NM_006885, NM_005955, NM_205843, NM_001987, NM_198055, NM_001278669, NM_001145661, NM_000937, NM_001099402, NM_138714, NM_021975, NM_031923, NM_001204, NM_018416, NM_005920, NM_001001890, NM_012340, NM_005641	388	241	7039	2.33358643111	0.0397613363608	0.0100920840437	0.0333599771346
GOTERM_MF_DIRECT	GO:0001078~transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding	12	2.7972027972	4.86381130804e-05	NM_198055, NM_006856, NM_003036, NM_015898, NM_022893, NM_024680, NM_004380, NM_001080547, NM_012340, NM_153813, NM_021975, NM_017721	397	48	7107	4.47544080605	0.0280529857847	0.00567463571013	0.0715620122081
GOTERM_MF_DIRECT	GO:0008134~transcription factor binding	23	5.36130536131	5.754759845e-05	NM_194278, NM_001171167, NM_005647, NM_006856, NM_003185, NM_001123385, NM_001145661, NM_153813, NM_021975, NM_002586, NM_001429, NM_002616, NM_006312, NM_002111, NM_032482, NM_031370, NM_015062, NM_004380, NM_006037, NM_001001890, NM_012340, NM_001128844, NM_014389	397	158	7107	2.60595287441	0.0331059099819	0.00559533974947	0.0846655029353
