AccNum,Energy
NM_017582,-108.96
NM_001276267,-183.87
NM_173469,-261.89
NM_001330474,-255.6
NM_014372,-307.96
NM_007282,-360.24
NM_014012,-142.86
NM_173527,-60.08
NM_004710,-88.99
NM_001143909,-71.41
NM_052942,-173.12
NM_033446,-90.91
NM_031277,-50.27
NM_001114132,-131.19
NM_001085365,-122.64
NM_001330282,-242.77
NM_000489,-126.52
NM_000303,-56.92
NM_001346946,-250.99
NM_000050,-245.68
NM_001320900,-193.97
NM_030572,-89.93
NM_152601,-109.23
NM_001297560,-191.77
NM_001353374,-548.43
NM_001080528,-51.05
NM_024993,-179.7
NM_025069,-174.46
NM_000997,-78.0
NM_001172655,-139.41
NM_001271848,-103.38
NM_001288805,-397.04
NM_001145652,-201.59
NM_001033723,-104.78
NM_001303124,-171.21
NM_001330566,-209.8
NM_014455,-193.84
NM_018471,-132.22
NM_001326297,-212.89
NM_001030288,-78.35
NM_001330331,-232.55
NM_001294340,-120.64
NM_007327,-222.5
NM_001322216,-394.04
NM_001145250,-31.39
NM_001135243,-85.75
NM_032141,-35.92
NM_016320,-228.51
NM_004628,-84.91
NM_138473,-63.77
NM_003110,-103.75
NM_003111,-300.91
NM_001242795,-200.57
NM_001003845,-144.62
NM_001258248,-149.96
NM_024046,-258.81
NM_139015,-283.3
NM_014498,-368.25
NM_025136,-82.65
NM_214711,-64.47
NM_130837,-148.6
NM_001172663,-163.95
NM_006822,-124.65
NM_080879,-146.85
NM_181617,-37.88
NM_001085480,-130.05
NM_001436,-105.03
NM_000094,-42.68
NM_016426,-125.65
NM_001101376,-39.33
NM_198185,-16.8
NM_001353179,-759.51
NM_001042465,-133.97
NM_001005170,-30.98
NM_032802,-141.8
NM_175882,-37.16
NM_017433,-176.73
NM_002207,-89.81
NM_003358,-314.43
NM_138995,-64.33
NM_004320,-97.09
NM_170665,-398.75
NM_174953,-165.76
NM_181501,-59.76
NM_002203,-90.51
NM_001258310,-89.93
NM_000885,-383.49
NM_002205,-85.11
NM_006912,-136.94
NM_001144996,-164.99
NM_003301,-47.21
NM_001660,-189.99
NM_001354435,-39.55
NM_001293172,-44.04
NM_001320835,-204.72
NM_014856,-294.48
NM_017863,-289.41
NM_001006635,-234.14
NM_015055,-86.1
NM_206963,-74.07
NM_007350,-63.47
NM_018359,-82.14
NM_001290043,-125.53
NM_002676,-56.24
NM_001130064,-206.33
NM_015430,-238.73
NM_003129,-405.07
NM_021624,-42.91
NM_001316942,-248.45
NM_152902,-144.11
NM_007232,-242.94
NM_001163315,-248.43
NM_001098213,-156.18
NM_001099784,-113.7
NM_024963,-99.83
NM_000020,-195.83
NM_182562,-109.87
NM_001142623,-156.41
NM_033625,-70.11
NM_152744,-157.06
NM_001144952,-29.01
NM_152786,-202.75
NM_002091,-106.08
NM_172138,-54.75
NM_001128228,-53.62
NM_024817,-48.04
NM_019099,-133.01
NM_203370,-118.23
NM_031422,-159.65
NM_022467,-368.13
NM_000495,-148.11
NM_001017363,-51.14
NM_000091,-129.35
NM_001846,-214.8
NM_001845,-123.38
NM_001004064,-24.51
NM_003654,-437.08
NM_004273,-271.07
NM_004267,-564.41
NM_024533,-532.99
NM_001166395,-121.48
NM_019886,-171.56
NM_021615,-109.26
NM_000887,-62.61
NM_001272069,-132.0
NM_001005205,-29.89
NM_001098,-41.14
NM_021958,-240.26
NM_001242784,-612.9
NM_005450,-346.41
NM_001355387,-90.98
NM_002210,-203.67
NM_001282208,-131.3
NM_003656,-148.82
NM_002209,-98.35
NM_001145808,-60.29
NM_002126,-259.15
NM_002514,-118.44
NM_001318185,-44.54
NM_001330176,-198.48
NM_001319240,-398.29
NM_000062,-95.36
NM_001127217,-198.48
NM_001297573,-251.86
NM_002337,-99.54
NM_000586,-26.22
NM_005585,-477.15
NM_005904,-206.41
NM_018178,-81.74
NM_001354811,-317.02
NM_203437,-186.84
NM_005902,-211.77
NM_001350283,-222.24
NM_003943,-438.57
NM_182606,-61.58
NM_182502,-47.14
NM_000876,-128.04
NM_004262,-30.95
NM_014058,-46.76
NM_207407,-37.59
NM_001355570,-69.95
NM_022304,-635.59
NM_032750,-416.68
NM_001136566,-56.63
NM_001286139,-200.7
NM_001145017,-175.86
NM_181776,-67.84
NM_001349740,-194.79
NM_001557,-158.31
NM_001287395,-65.62
NM_007148,-105.6
NM_173549,-99.94
NM_001130514,-49.28
NM_001002912,-147.07
NM_001290030,-29.46
NM_001303100,-71.93
NM_057090,-411.1
NM_004314,-65.2
NM_001130016,-61.26
NM_053017,-276.08
NM_021071,-154.54
NM_024548,-59.07
NM_001287746,-225.82
NM_198723,-408.92
NM_003196,-104.77
NM_006756,-207.48
NM_032609,-77.48
NM_001318794,-125.26
NM_016561,-135.2
NM_207581,-132.19
NM_001407,-215.06
NM_005258,-97.5
NM_019604,-41.63
NM_001399,-170.64
NM_130444,-37.44
NM_016518,-179.71
NM_152612,-84.77
NM_001167940,-251.9
NM_144577,-283.54
NM_001321118,-192.93
NM_152549,-187.26
NM_001320816,-212.17
NM_152775,-66.46
NM_001282136,-247.76
NM_001323903,-44.72
NM_015210,-64.23
NM_144699,-157.19
NM_001256214,-140.02
NM_000702,-98.08
NM_001160233,-209.47
NM_001001663,-145.23
NM_001085429,-82.31
NM_001142290,-108.83
NM_030752,-147.06
NM_005918,-109.83
NM_012116,-78.03
NM_182965,-315.61
NM_001937,-41.91
NM_001292025,-406.0
NM_024040,-104.76
NM_016488,-62.72
NM_030627,-472.81
NM_001288819,-337.3
NM_014912,-108.36
NM_001177382,-40.03
NM_001159531,-117.54
NM_001190462,-42.13
NM_001145346,-40.55
NM_018079,-53.59
NM_000663,-380.96
NM_001142579,-100.51
NM_001005851,-53.61
NM_015059,-27.9
NM_004477,-80.61
NM_001286820,-35.19
NM_001303126,-167.71
NM_001286174,-209.73
NM_001190241,-336.0
NM_014055,-268.11
NM_052957,-204.82
NM_001353568,-278.93
NM_001143960,-113.25
NM_001558,-79.1
NM_016287,-72.33
NM_007101,-165.36
NM_001166692,-34.55
NM_032815,-59.39
NM_001354975,-550.23
NM_145657,-77.4
NM_015270,-140.72
NM_032551,-133.41
NM_182751,-69.87
NM_003112,-141.0
NM_000628,-94.14
NM_001351985,-1408.62
NM_178326,-78.22
NM_001321287,-442.46
NM_001199241,-95.72
NM_021248,-392.16
NM_001281504,-290.78
NM_005169,-133.04
NM_003924,-134.28
NM_144648,-43.58
NM_006760,-40.9
NM_000186,-82.78
NM_133443,-118.93
NM_000270,-69.82
NM_001317335,-59.34
NM_144651,-84.87
NM_001710,-150.54
NM_153445,-26.38
NM_153444,-26.4
NM_001195243,-233.14
NM_001304732,-120.36
NM_004380,-126.1
NM_002687,-77.97
NM_001034842,-82.58
NM_003945,-84.99
NM_145230,-481.81
NM_002621,-125.52
NM_016470,-131.34
NM_015665,-94.43
NM_021175,-113.73
NM_001080507,-34.2
NM_001322299,-563.34
NM_001164442,-185.87
NM_001040455,-51.85
NM_004383,-368.78
NM_004160,-227.92
NM_015354,-45.83
NM_001198812,-24.11
NM_001319086,-406.58
NM_017420,-47.1
NM_175875,-205.18
NM_007374,-112.39
NM_018397,-289.05
NM_018666,-88.26
NM_001531,-86.33
NM_016932,-232.8
NM_005413,-53.62
NM_152755,-62.12
NM_005467,-81.66
NM_014255,-312.48
NM_001103176,-70.29
NM_018055,-64.77
NM_005659,-99.12
NM_001358416,-145.35
NM_152643,-42.86
NM_018200,-160.9
NM_006339,-84.03
NM_001199286,-220.58
NM_001271886,-250.63
NM_018438,-126.98
NM_004411,-171.76
NM_001025300,-250.25
NM_001104629,-97.18
NM_001101337,-46.08
NM_017445,-49.93
NM_003898,-120.24
NM_134442,-137.46
NM_173801,-77.43
NM_001025266,-165.04
NM_031939,-136.55
NM_001037666,-123.54
NM_001321917,-137.01
NM_001161344,-97.29
NM_001017978,-78.68
NM_033318,-84.13
NM_145702,-278.38
NM_001040709,-226.24
NM_001145664,-63.48
NM_173587,-244.99
NM_213594,-135.33
NM_198074,-124.78
NM_000484,-150.22
NM_022841,-33.23
NM_001330195,-372.21
NM_015080,-350.27
NM_001135659,-563.26
NM_134428,-93.6
NM_001017964,-61.07
NM_001010867,-59.58
NM_001321057,-36.21
NM_001354895,-213.47
NM_199337,-64.47
NM_002940,-182.37
NM_003366,-148.83
NM_001324136,-173.01
NM_003399,-130.52
NM_003365,-71.18
NM_001005473,-70.87
NM_000821,-88.72
NM_173462,-105.02
NM_017750,-115.63
NM_001355194,-349.82
NM_014205,-76.12
NM_003198,-75.78
NM_006559,-191.82
NM_006558,-294.35
NM_001350622,-164.58
NM_017953,-90.87
NM_000233,-81.75
NM_012364,-23.3
NM_001256854,-25.81
NM_022489,-124.06
NM_001195279,-26.6
NM_001089591,-46.59
NM_001113324,-181.53
NM_178191,-83.02
NM_022761,-153.02
NM_025150,-65.23
NM_001197293,-96.94
NM_001197294,-143.82
NM_001199080,-263.69
NM_198699,-42.28
NM_198692,-38.23
NM_181688,-38.52
NM_000597,-130.18
NM_001013398,-116.56
NM_020862,-40.06
NM_003011,-228.51
NM_001319193,-48.12
NM_001553,-47.17
NM_001552,-213.65
NM_000599,-335.26
NM_000104,-201.76
NM_004623,-75.51
NM_024514,-45.91
NM_016951,-103.12
NM_001011724,-335.78
NM_001042376,-66.38
NM_000165,-118.08
NM_021954,-116.91
NM_005161,-207.16
NM_005266,-84.87
NM_001031680,-132.58
NM_005267,-51.46
NM_004391,-160.18
NM_001011700,-46.54
NM_012374,-26.33
NM_016604,-169.81
NM_015852,-396.55
NM_001331097,-278.15
NM_018433,-199.65
NM_001348281,-79.07
NM_021115,-139.1
NM_001352379,-220.58
NM_001145303,-108.67
NM_001042549,-58.39
NM_001127198,-179.01
NM_001160364,-204.4
NM_015957,-93.11
NM_138691,-207.95
NM_080751,-30.49
NM_001080532,-46.9
NM_003931,-403.53
NM_001318966,-146.57
NM_003907,-195.3
NM_152468,-251.64
NM_020365,-133.04
NM_001414,-133.65
NM_004157,-173.6
NM_002736,-160.02
NM_032121,-57.96
NM_006472,-129.34
NM_003775,-70.59
NM_001195432,-129.67
NM_001320598,-158.81
NM_014714,-203.55
NM_001193341,-77.24
NM_003544,-31.85
NM_001286488,-112.55
NM_014051,-115.76
NM_022725,-38.93
NM_001164000,-415.86
NM_031924,-128.67
NM_080860,-126.09
NM_021922,-157.31
NM_001013615,-95.39
NM_001195528,-124.93
NM_001098808,-205.25
NM_001329851,-299.19
NM_173076,-99.27
NM_003030,-86.87
NM_001007794,-170.83
NM_001018113,-95.84
NM_005666,-47.92
NM_001350159,-203.74
NM_013943,-188.46
NM_001114086,-47.09
NM_030948,-180.56
NM_181303,-195.42
NM_080672,-216.07
NM_001100164,-138.26
NM_001165252,-40.75
NM_033032,-37.18
NM_001123387,-41.37
NM_001272077,-97.2
NM_001242597,-209.08
NM_001671,-161.98
NM_080912,-141.03
NM_018342,-199.24
NM_018273,-188.36
NM_000210,-165.52
NM_032928,-64.91
NM_018295,-122.88
NM_006085,-88.58
NM_001142930,-110.14
NM_001005169,-21.22
NM_024036,-207.73
NM_145307,-166.19
NM_175873,-224.61
NM_001193489,-150.47
NM_023016,-153.64
NM_001105576,-64.62
NM_005328,-154.77
NM_001144064,-23.88
NM_001242524,-89.41
NM_014077,-45.27
NM_001199280,-113.18
NM_001316331,-178.78
NM_020444,-188.83
NM_005371,-45.9
NM_001039112,-86.46
NM_001329394,-274.39
NM_001293083,-69.74
NM_001202409,-299.07
NM_001330640,-203.52
NM_001282400,-489.68
NM_152240,-247.46
NM_144723,-62.52
NM_019103,-126.08
NM_024645,-93.47
NM_017914,-72.61
NM_152482,-74.57
NM_001080416,-237.91
NM_022138,-158.09
NM_005126,-224.03
NM_002466,-198.98
NM_001098728,-77.04
NM_001282506,-105.16
NM_001349346,-84.82
NM_001349809,-252.96
NM_001291605,-221.5
NM_001278284,-187.92
NM_001269041,-311.33
NM_001015072,-279.3
NM_021089,-109.78
NM_020643,-94.16
NM_001079,-133.54
NM_001039783,-218.17
NM_003311,-57.68
NM_001323606,-713.53
NM_007346,-71.94
NM_014805,-129.35
NM_001253,-144.26
NM_001358661,-147.81
NM_001130963,-61.11
NM_001316307,-102.97
NM_018558,-40.8
NM_018890,-156.46
NM_016038,-147.69
NM_005772,-167.04
NM_014000,-72.52
NM_001354928,-384.1
NM_001030005,-87.81
NM_006651,-112.09
NM_014203,-161.12
NM_152610,-106.36
NM_001242837,-164.83
NM_013452,-116.85
NM_004679,-65.04
NM_025245,-197.32
NM_001346565,-312.5
NM_002586,-221.13
NM_006195,-86.89
NM_002585,-185.22
NM_000383,-135.94
NM_014548,-125.56
NM_022072,-96.35
NM_017755,-236.44
NM_018044,-75.29
NM_199044,-300.82
NM_024677,-247.31
NM_182543,-151.71
NM_001070,-234.93
NM_001013407,-71.61
NM_001010889,-71.02
NM_001320509,-163.5
NM_032599,-59.43
NM_023013,-71.3
NM_023014,-66.7
NM_001290254,-212.6
NM_001166292,-30.88
NM_000412,-49.05
NM_001083602,-260.26
NM_001012276,-54.71
NM_006351,-114.42
NM_020227,-93.72
NM_001004325,-59.04
NM_001300907,-305.94
NM_001286533,-244.74
NM_004584,-91.66
NM_020382,-68.88
NM_016570,-72.25
NM_198398,-76.36
NM_001297753,-367.07
NM_001031711,-151.12
NM_001349839,-204.25
NM_175060,-216.87
NM_022341,-70.68
NM_001288723,-159.0
NM_080742,-341.2
NM_054025,-212.41
NM_018340,-80.8
NM_153477,-135.24
NM_001305626,-984.23
NM_005184,-196.98
NM_016630,-190.32
NM_006888,-135.73
NM_178171,-63.9
NM_018530,-93.01
NM_031415,-316.48
NM_001166237,-371.34
NM_004403,-162.07
NM_006952,-68.43
NM_001346810,-75.53
NM_005030,-131.39
NM_004746,-250.0
NM_014467,-175.14
NM_001146015,-94.19
NM_001242810,-363.39
NM_021038,-542.01
NM_144778,-252.57
NM_001170704,-179.04
NM_004073,-185.66
NM_130786,-61.47
NM_006622,-120.11
NM_007280,-66.34
NM_004155,-85.82
NM_173872,-215.95
NM_004366,-144.42
NM_000083,-65.68
NM_153350,-245.7
NM_001287,-118.67
NM_005045,-131.75
NM_001127899,-263.65
NM_001830,-215.78
NM_003543,-27.09
NM_015566,-60.52
NM_139199,-51.81
NM_001317951,-266.55
NM_058243,-109.76
NM_001348107,-189.63
NM_001173984,-143.57
NM_001080514,-77.54
NM_001304808,-319.87
NM_001291986,-946.99
NM_007371,-139.77
NM_005880,-82.72
NM_005147,-95.06
NM_001539,-110.82
NM_018602,-121.05
NM_005163,-288.83
NM_080685,-275.92
NM_002835,-77.92
NM_001330437,-149.06
NM_001302836,-205.09
NM_012333,-64.32
NM_001137549,-49.1
NM_003614,-53.09
NM_003857,-99.97
NM_001480,-307.87
NM_007124,-47.92
NM_017816,-123.91
NM_022843,-174.4
NM_003956,-49.98
NM_206967,-117.47
NM_145729,-107.64
NM_016504,-40.46
NM_001161529,-134.55
NM_004010,-214.17
NM_001318485,-82.71
NM_014117,-256.95
NM_014180,-43.22
NM_020759,-53.55
NM_001256871,-26.51
NM_174912,-83.07
NM_080491,-100.62
NM_001081573,-80.71
NM_001297658,-402.5
NM_001145054,-165.91
NM_001099334,-81.6
NM_001162483,-85.4
NM_001353546,-389.39
NM_002523,-161.58
NM_004132,-58.48
NM_001193552,-82.16
NM_152677,-213.25
NM_001320329,-455.54
NM_032013,-70.38
NM_001130487,-228.46
NM_181877,-129.69
NM_001039465,-156.09
NM_005626,-243.39
NM_001031684,-134.14
NM_006275,-113.83
NM_001078166,-123.81
NM_001348451,-227.09
NM_003017,-75.64
NM_024108,-48.89
NM_016459,-55.51
NM_001351234,-60.05
NM_003769,-123.35
NM_001798,-136.84
NM_001024594,-105.97
NM_018434,-309.68
