HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Synonyms	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:823	ATP5F1A	ATP synthase F1 subunit alpha	Approved	gene with protein product	ATP5AL2, ATPM, ATP5A1	ATP5A, hATP1, OMR, ORM	18q21.1	498	ENSG00000152234	OTTHUMG00000132637	644	Mitochondrial complex V: ATP synthase subunits
HGNC:830	ATP5F1B	ATP synthase F1 subunit beta	Approved	gene with protein product	ATPSB, ATP5B		12q13.3	506	ENSG00000110955	OTTHUMG00000170291	644	Mitochondrial complex V: ATP synthase subunits
HGNC:833	ATP5F1C	ATP synthase F1 subunit gamma	Approved	gene with protein product	ATP5CL1, ATP5C, ATP5C1		10p14	509	ENSG00000165629	OTTHUMG00000017639	644	Mitochondrial complex V: ATP synthase subunits
HGNC:837	ATP5F1D	ATP synthase F1 subunit delta	Approved	gene with protein product	ATP5D		19p13.3	513	ENSG00000099624	OTTHUMG00000180143	644	Mitochondrial complex V: ATP synthase subunits
HGNC:838	ATP5F1E	ATP synthase F1 subunit epsilon	Approved	gene with protein product	ATP5E		20q13.32	514	ENSG00000124172	OTTHUMG00000032854	644	Mitochondrial complex V: ATP synthase subunits
HGNC:841	ATP5MC1	ATP synthase membrane subunit c locus 1	Approved	gene with protein product	ATP5G, ATP5G1		17q21.32	516	ENSG00000159199	OTTHUMG00000160520	644	Mitochondrial complex V: ATP synthase subunits
HGNC:842	ATP5MC2	ATP synthase membrane subunit c locus 2	Approved	gene with protein product	ATP5G2		12q13.13	517	ENSG00000135390	OTTHUMG00000133442	644	Mitochondrial complex V: ATP synthase subunits
HGNC:843	ATP5MC3	ATP synthase membrane subunit c locus 3	Approved	gene with protein product	ATP5G3		2q31.1	518	ENSG00000154518	OTTHUMG00000132425	644	Mitochondrial complex V: ATP synthase subunits
HGNC:30889	ATP5MD	ATP synthase membrane subunit DAPIT	Approved	gene with protein product	USMG5	MGC14697, bA792D24.4, DAPIT	10q24.33	84833	ENSG00000173915	OTTHUMG00000018984	644	Mitochondrial complex V: ATP synthase subunits
HGNC:846	ATP5ME	ATP synthase membrane subunit e	Approved	gene with protein product	ATP5I		4p16.3	521	ENSG00000169020	OTTHUMG00000086929	644	Mitochondrial complex V: ATP synthase subunits
HGNC:848	ATP5MF	ATP synthase membrane subunit f	Approved	gene with protein product	ATP5J2	ATP5JL	7q22.1	9551	ENSG00000241468	OTTHUMG00000154609	644	Mitochondrial complex V: ATP synthase subunits
HGNC:14247	ATP5MG	ATP synthase membrane subunit g	Approved	gene with protein product	ATP5L	ATP5JG	11q23.3	10632	ENSG00000167283	OTTHUMG00000166336	644	Mitochondrial complex V: ATP synthase subunits
HGNC:1188	ATP5MPL	ATP synthase membrane subunit 6.8PL	Approved	gene with protein product	C14orf2	MP68, MLQ, 6.8PL	14q32.33	9556	ENSG00000156411	OTTHUMG00000171601	644	Mitochondrial complex V: ATP synthase subunits
HGNC:7414	MT-ATP6	mitochondrially encoded ATP synthase membrane subunit 6	Approved	gene with protein product	MTATP6, RP	ATP6, ATPase-6, Su6m	mitochondria	4508	ENSG00000198899		644	Mitochondrial complex V: ATP synthase subunits
HGNC:7415	MT-ATP8	mitochondrially encoded ATP synthase membrane subunit 8	Approved	gene with protein product	MTATP8	ATP8, A6L	mitochondria	4509	ENSG00000228253		644	Mitochondrial complex V: ATP synthase subunits
HGNC:840	ATP5PB	ATP synthase peripheral stalk-membrane subunit b	Approved	gene with protein product	ATP5F1		1p13.2	515	ENSG00000116459	OTTHUMG00000011745	644	Mitochondrial complex V: ATP synthase subunits
HGNC:845	ATP5PD	ATP synthase peripheral stalk subunit d	Approved	gene with protein product	ATP5H	ATPQ, ATP5JD	17q25.1	10476	ENSG00000167863	OTTHUMG00000179219	644	Mitochondrial complex V: ATP synthase subunits
HGNC:847	ATP5PF	ATP synthase peripheral stalk subunit F6	Approved	gene with protein product	ATP5A, ATP5, ATPM, ATP5J	CF6	21q21.3	522	ENSG00000154723	OTTHUMG00000078442	644	Mitochondrial complex V: ATP synthase subunits
HGNC:850	ATP5PO	ATP synthase peripheral stalk subunit OSCP	Approved	gene with protein product	ATP5O	OSCP, ATPO	21q22.11	539	ENSG00000241837	OTTHUMG00000065186	644	Mitochondrial complex V: ATP synthase subunits
HGNC:871	ATP5IF1	ATP synthase inhibitory factor subunit 1	Approved	gene with protein product	ATPIF1	ATPI, IP, ATPIP, MGC1167, MGC8898	1p35.3	93974	ENSG00000130770	OTTHUMG00000003533	644	Mitochondrial complex V: ATP synthase subunits
