HGNC ID	Approved symbol	Approved name	Status	Locus type	Previous symbols	Synonyms	Chromosome	NCBI Gene ID	Ensembl gene ID	Vega gene ID	Group ID	Group name
HGNC:2265	COX4I1	cytochrome c oxidase subunit 4I1	Approved	gene with protein product	COX4	COX4-1	16q24.1	1327	ENSG00000131143	OTTHUMG00000137649	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:16232	COX4I2	cytochrome c oxidase subunit 4I2	Approved	gene with protein product	COX4L2	COXIV-2, COX4B, dJ857M17.2, COX4-2	20q11.21	84701	ENSG00000131055	OTTHUMG00000032180	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2267	COX5A	cytochrome c oxidase subunit 5A	Approved	gene with protein product			15q24.2	9377	ENSG00000178741	OTTHUMG00000142825	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2269	COX5B	cytochrome c oxidase subunit 5B	Approved	gene with protein product			2q11.2	1329	ENSG00000135940	OTTHUMG00000130548	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2277	COX6A1	cytochrome c oxidase subunit 6A1	Approved	gene with protein product	COX6A		12q24.31	1337	ENSG00000111775	OTTHUMG00000047791	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2279	COX6A2	cytochrome c oxidase subunit 6A2	Approved	gene with protein product			16p11.2	1339	ENSG00000156885	OTTHUMG00000132463	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2280	COX6B1	cytochrome c oxidase subunit 6B1	Approved	gene with protein product	COX6B	COXG	19q13.12	1340	ENSG00000126267	OTTHUMG00000048112	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:24380	COX6B2	cytochrome c oxidase subunit 6B2	Approved	gene with protein product		COXVIB2, FLJ32865, CT59	19q13.42	125965	ENSG00000160471	OTTHUMG00000180774	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2285	COX6C	cytochrome c oxidase subunit 6C	Approved	gene with protein product			8q22.2	1345	ENSG00000164919	OTTHUMG00000164703	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2287	COX7A1	cytochrome c oxidase subunit 7A1	Approved	gene with protein product	COX7A	COX7AH	19q13.12	1346	ENSG00000161281	OTTHUMG00000048144	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2288	COX7A2	cytochrome c oxidase subunit 7A2	Approved	gene with protein product		COXVIIa-L, COX7AL	6q14.1	1347	ENSG00000112695	OTTHUMG00000015049	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2291	COX7B	cytochrome c oxidase subunit 7B	Approved	gene with protein product			Xq21.1	1349	ENSG00000131174	OTTHUMG00000022718	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:24381	COX7B2	cytochrome c oxidase subunit 7B2	Approved	gene with protein product			4p12	170712	ENSG00000170516	OTTHUMG00000099423	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2292	COX7C	cytochrome c oxidase subunit 7C	Approved	gene with protein product			5q14.3	1350	ENSG00000127184	OTTHUMG00000119049	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:2294	COX8A	cytochrome c oxidase subunit 8A	Approved	gene with protein product	COX8	COX8-2, COX8L, VIII-L, COX, VIII	11q13.1	1351	ENSG00000176340	OTTHUMG00000167785	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:24382	COX8C	cytochrome c oxidase subunit 8C	Approved	gene with protein product		COX8-3	14q32.12	341947	ENSG00000187581	OTTHUMG00000171279	643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:7419	MT-CO1	mitochondrially encoded cytochrome c oxidase I	Approved	gene with protein product	MTCO1	COX1, COI	mitochondria	4512	ENSG00000198804		643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:7421	MT-CO2	mitochondrially encoded cytochrome c oxidase II	Approved	gene with protein product	MTCO2	COX2, CO2	mitochondria	4513	ENSG00000198712		643	Mitochondrial complex IV: cytochrome c oxidase subunits
HGNC:7422	MT-CO3	mitochondrially encoded cytochrome c oxidase III	Approved	gene with protein product	MTCO3	COX3, COIII, CO3	mitochondria	4514	ENSG00000198938		643	Mitochondrial complex IV: cytochrome c oxidase subunits
